X              Y         Z      JointType 
-0.1264692 -0.3711166 1.530354 0 SpineBase
-0.1309334 -0.05839899 1.570061 1 SpineMid
-0.1343277 0.2411683 1.595201 2 Neck
-0.2786585 0.1107115 1.549922 4 ShoulderLeft
-0.3412556 -0.1476926 1.502784 5 ElbowLeft
-0.358197 -0.3441355 1.419994 6 WristLeft
-0.3479198 -0.3633685 1.409763 7 HandLeft
0.04689303 0.1066251 1.553504 8 ShoulderRight
0.09885239 -0.1224357 1.524989 9 ElbowRight
0.1483206 -0.3114111 1.436386 10 WristRight
0.1523387 -0.3491773 1.410274 11 HandRight
-0.1973967 -0.3634368 1.492393 12 HipLeft
-0.1857671 -0.6678761 1.490038 13 KneeLeft
-0.1969681 -1.030514 1.560975 14 AnkleLeft
-0.04955787 -0.3615858 1.49692 16 HipRight
-0.03937699 -0.6499214 1.451567 17 KneeRight
-0.02726135 -1.042223 1.433145 18 AnkleRight
-0.133635 0.1680221 1.591244 20 SpineShoulder
-0.3481652 -0.4480851 1.390439 21 HandTipLeft
-0.2979256 -0.3351777 1.391304 22 ThumbLeft
0.1612126 -0.4280761 1.39073 23 HandTipRight
0.1264415 -0.3680182 1.38886 24 ThumbRight
-0.1210792 -0.3713257 1.526959 0 SpineBase
-0.1280147 -0.0583423 1.569273 1 SpineMid
-0.1328418 0.2413034 1.59551 2 Neck
-0.2763415 0.1089634 1.550089 4 ShoulderLeft
-0.3374946 -0.1493089 1.502132 5 ElbowLeft
-0.3543902 -0.345254 1.417979 6 WristLeft
-0.3438233 -0.3640862 1.406491 7 HandLeft
0.04924552 0.1067057 1.550578 8 ShoulderRight
0.1032235 -0.1214279 1.516637 9 ElbowRight
0.1512832 -0.3102706 1.426782 10 WristRight
0.1578096 -0.3470832 1.402781 11 HandRight
-0.1923976 -0.3634123 1.490127 12 HipLeft
-0.1843299 -0.6680607 1.488361 13 KneeLeft
-0.1936275 -1.030628 1.559738 14 AnkleLeft
-0.04406185 -0.3619772 1.492399 16 HipRight
-0.0332223 -0.650869 1.456077 17 KneeRight
-0.01729101 -1.039684 1.484923 18 AnkleRight
-0.1318911 0.1681434 1.591369 20 SpineShoulder
