   X       Y         Z      JointType
17.73501 -3.40233 16.66667 0
17.75178 -0.005672455 16.66667 1
17.77567 3.714553 16.66667 2
17.77359 5.493933 16.66667 3
15.93734 2.876255 16.66667 4
15.22577 -0.2113754 16.66667 5
14.80581 -2.668191 16.66667 6
14.71873 -3.467291 16.66667 7
19.24684 1.909311 16.66667 8
20.58845 0.1284889 16.875 9
20.54616 -2.545656 16.875 10
19.77903 -3.233929 17.5 11
17.23965 -3.406126 16.66667 12
16.92385 -6.824881 16.66667 13
17.63783 -9.513011 17.5 14
17.60683 -10.68699 18 15
18.63544 -3.421782 16.66667 16
18.75033 -7.515523 16.66667 17
19.54257 -9.767238 18 18
19.5236 -10.65269 18 19
17.77905 3.133305 16.66667 20
14.67272 -4.329185 16.66667 21
14.65827 -3.456393 16.66667 22
19.94992 -4.658339 16.66667 23
19.83645 -3.74243 16.66667 24
17.74166 -3.40941 16.66667 0
17.76355 0.3432732 16.66667 1
17.78416 4.029847 16.66667 2
17.77143 5.622899 16.66667 3
15.74866 2.545081 16.66667 4
15.15687 -0.4810761 16.66667 5
14.74945 -2.959172 16.66667 6
14.70017 -3.528706 16.66667 7
19.73285 2.508049 16.66667 8
20.65927 -0.2053963 16.875 9
20.63906 -2.824237 16.875 10
19.85014 -3.39613 17.5 11
16.84086 -3.399085 16.66667 12
16.86048 -7.246549 16.66667 13
17.6211 -10.13438 17.5 14
17.60688 -10.68682 18 15
18.64339 -3.420621 16.66667 16
18.77775 -7.518683 16.66667 17
19.54232 -9.768255 18 18
19.52318 -10.65374 18 19
17.77895 3.115057 16.66667 20
14.643 -4.339532 16.66667 21
14.63856 -3.430534 16.66667 22
20.0169 -4.642207 16.66667 23
19.89709 -3.784615 16.66667 24
17.754 -3.413838 16.66667 0
17.76453 0.3376305 16.66667 1
17.77 4.01858 16.66667 2
17.76847 5.611818 16.66667 3
15.75008 2.54497 16.66667 4
15.14623 -0.4615677 16.66667 5
14.72685 -2.927751 16.66667 6
14.64909 -3.486052 16.66667 7
19.73922 2.507273 16.66667 8
20.69027 0.11688 17.14286 9
20.7687 -2.379764 17.14286 10
20.56187 -3.029283 17.14286 11
16.85003 -3.403264 16.66667 12
16.9604 -7.246706 16.66667 13
17.62222 -10.13385 17.5 14
17.60697 -10.68738 18 15
18.65905 -3.425177 16.66667 16
18.81446 -7.520831 16.66667 17
19.53541 -9.784579 18 18
19.52346 -10.65278 18 19
17.76908 3.105615 16.66667 20
14.58403 -4.329642 16.66667 21
14.5796 -3.521895 16.66667 22
20.0563 -4.632698 16.66667 23
19.89042 -3.729424 16.66667 24
17.83181 -3.43573 16.66667 0
17.81281 0.3119278 16.66667 1
17.79679 3.983064 16.66667 2
17.81941 5.563898 16.66667 3
15.80396 2.533268 16.66667 4
15.21239 -0.4507095 16.66667 5
14.80109 -2.945041 16.66667 6
14.75619 -3.464413 16.66667 7
19.79597 2.484135 16.66667 8
20.3073 -0.424662 16.66667 9
20.40567 -2.914308 16.66667 10
20.29089 -3.601418 16.66667 11
16.92339 -3.427994 16.66667 12
16.97518 -7.30399 16.66667 13
17.62175 -10.12398 17.5 14
17.60308 -10.70952 18 15
18.73657 -3.439787 16.66667 16
18.90122 -7.510913 16.66667 17
19.34026 -10.15193 17.5 18
19.51852 -10.65193 18 19
17.80062 3.07314 16.66667 20
14.67506 -4.322499 16.66667 21
14.70978 -3.494756 16.66667 22
20.36015 -4.578067 16.66667 23
20.08726 -3.639182 16.66667 24
17.83485 -3.437482 16.66667 0
17.81543 0.3109596 16.66667 1
17.79957 3.983112 16.66667 2
17.82095 5.563487 16.66667 3
15.8039 2.532661 16.66667 4
15.21339 -0.4509788 16.66667 5
14.80163 -2.946484 16.66667 6
14.77481 -3.47231 16.66667 7
19.79653 2.483679 16.66667 8
20.30748 -0.423172 16.66667 9
20.41325 -2.913496 16.66667 10
20.31317 -3.593181 16.66667 11
16.92763 -3.432211 16.66667 12
16.979 -7.308652 16.66667 13
17.62297 -10.11894 17.5 14
17.60175 -10.70384 18 15
18.73981 -3.441425 16.66667 16
18.90754 -7.501337 16.66667 17
19.32535 -10.18638 17.5 18
19.51663 -10.66149 18 19
17.80328 3.072937 16.66667 20
14.70219 -4.343962 16.66667 21
14.69194 -3.583316 16.66667 22
20.38739 -4.575819 16.66667 23
20.08942 -3.629372 16.66667 24
17.83528 -3.43759 16.66667 0
17.81602 0.311087 16.66667 1
17.8004 3.983611 16.66667 2
17.82136 5.563635 16.66667 3
15.80487 2.532277 16.66667 4
15.21435 -0.4502716 16.66667 5
14.80455 -2.946559 16.66667 6
14.78048 -3.471581 16.66667 7
19.79841 2.483482 16.66667 8
20.30882 -0.4231216 16.66667 9
20.41505 -2.913628 16.66667 10
20.31481 -3.593178 16.66667 11
16.92813 -3.43222 16.66667 12
16.9775 -7.311171 16.66667 13
17.61847 -10.11819 17.5 14
17.61209 -10.6681 18 15
18.74021 -3.441608 16.66667 16
18.90833 -7.501637 16.66667 17
19.32694 -10.18942 17.5 18
19.51709 -10.66528 18 19
17.80404 3.073325 16.66667 20
14.70724 -4.343483 16.66667 21
14.71077 -3.575592 16.66667 22
20.38637 -4.575874 16.66667 23
20.094 -3.635153 16.66667 24
17.85622 -3.440265 16.66667 0
17.83323 0.3068825 16.66667 1
17.81186 3.979728 16.66667 2
17.83457 5.560238 16.66667 3
15.82492 2.520212 16.66667 4
15.25185 -0.4564835 16.66667 5
14.88886 -2.968475 16.66667 6
14.89028 -3.475328 16.66667 7
19.82585 2.481843 16.66667 8
20.31898 -0.4173737 16.66667 9
20.45881 -2.891295 16.66667 10
20.36272 -3.599278 16.66667 11
16.94908 -3.439583 16.66667 12
17.02428 -7.403735 16.66667 13
17.61702 -10.11913 17.5 14
17.59243 -10.65625 18 15
18.76246 -3.440492 16.66667 16
18.97451 -7.466376 16.66667 17
19.35486 -10.13513 17.5 18
19.51721 -10.65543 18 19
17.81704 3.069144 16.66667 20
14.83243 -4.36053 16.66667 21
14.78134 -3.54687 16.66667 22
20.45178 -4.587607 16.66667 23
20.17345 -3.674522 16.66667 24
17.8682 -3.44308 16.66667 0
17.84666 0.3042038 16.66667 1
17.82442 3.977473 16.66667 2
17.84978 5.553177 16.66667 3
15.84005 2.512092 16.66667 4
15.26612 -0.4720848 16.66667 5
14.89028 -2.967534 16.66667 6
14.87262 -3.497215 16.66667 7
19.84034 2.476514 16.66667 8
20.32995 -0.4195786 16.66667 9
20.47806 -2.892273 16.66667 10
20.39417 -3.600862 16.66667 11
16.96115 -3.442697 16.66667 12
17.03444 -7.411769 16.66667 13
17.61654 -10.11888 17.5 14
17.59052 -10.65951 18 15
18.77434 -3.442934 16.66667 16
18.98348 -7.489141 16.66667 17
19.35967 -10.11964 17.5 18
19.51768 -10.6572 18 19
17.83002 3.066643 16.66667 20
14.8084 -4.39086 16.66667 21
14.7862 -3.523612 16.66667 22
20.48313 -4.601762 16.66667 23
20.1975 -3.644626 16.66667 24
17.86264 -3.432518 16.66667 0
17.83855 0.3099434 16.66667 1
17.8127 3.979265 16.66667 2
17.84803 5.554397 16.66667 3
15.83824 2.516521 16.66667 4
15.258 -0.4671639 16.66667 5
14.88923 -2.953026 16.66667 6
14.84966 -3.475446 16.66667 7
19.82679 2.482133 16.66667 8
20.33751 -0.4129654 16.66667 9
20.52843 -2.877013 16.66667 10
20.45452 -3.556509 16.66667 11
16.95507 -3.433562 16.66667 12
16.97124 -7.340179 16.66667 13
17.52434 -10.07807 17.5 14
17.48433 -10.67747 18 15
18.7688 -3.43093 16.66667 16
19.08339 -7.402597 16.66667 17
19.38432 -10.09693 17.5 18
19.52034 -10.70072 18 19
17.81926 3.069327 16.66667 20
14.80681 -4.369737 16.66667 21
14.791 -3.464413 16.66667 22
20.55972 -4.556654 16.66667 23
20.27927 -3.625156 16.66667 24
17.88347 -3.419838 16.66667 0
17.86364 0.3133858 16.66667 1
17.84035 3.973608 16.66667 2
17.87124 5.546558 16.66667 3
15.86922 2.504136 16.66667 4
15.29093 -0.4618851 16.66667 5
14.91912 -2.965209 16.66667 6
14.90667 -3.507907 16.66667 7
19.84137 2.482288 16.66667 8
20.36749 -0.4120796 16.66667 9
20.58759 -2.874602 16.66667 10
20.52287 -3.562369 16.66667 11
16.97968 -3.423789 16.66667 12
16.97528 -7.314644 16.66667 13
17.50623 -10.06593 17.5 14
17.48427 -10.67783 18 15
18.78484 -3.415166 16.66667 16
18.9937 -7.373582 16.66667 17
19.38561 -10.0927 17.5 18
19.51978 -10.69986 18 19
17.84635 3.066018 16.66667 20
14.89253 -4.396677 16.66667 21
14.86453 -3.524208 16.66667 22
20.57661 -4.565639 16.66667 23
20.36511 -3.630118 16.66667 24
17.87315 -3.418706 16.66667 0
17.85331 0.3141991 16.66667 1
17.83118 3.974233 16.66667 2
17.8671 5.54506 16.66667 3
15.86406 2.502462 16.66667 4
15.2679 -0.4539345 16.66667 5
14.88614 -2.95733 16.66667 6
14.87891 -3.524138 16.66667 7
19.828 2.483397 16.66667 8
20.3603 -0.4195244 16.66667 9
20.59141 -2.881651 16.66667 10
20.52532 -3.563638 16.66667 11
16.97025 -3.422565 16.66667 12
16.9564 -7.336114 16.66667 13
17.48488 -10.10095 17.5 14
17.4872 -10.65902 18 15
18.77321 -3.414153 16.66667 16
