   X       Y         Z      JointType
-0.59629 0.1362011 2.068847 0
-0.592689 0.4317002 2.042409 1
-0.5854639 0.7158179 2.005733 2
-0.6002206 0.8653973 2.002841 3
-0.7495157 0.6076519 2.007556 4
-0.7912828 0.3558093 2.023183 5
-0.7874629 0.1556398 1.980472 6
-0.7796802 0.1202085 1.981991 7
-0.4273397 0.6008785 2.01597 8
-0.3889427 0.3527225 2.030498 9
-0.3874818 0.1523976 1.987209 10
-0.413197 0.1158829 1.981785 11
-0.6565837 0.133611 2.028995 12
-0.646951 -0.2149943 2.145762 13
-0.6277602 -0.532693 2.222645 14
-0.6204671 -0.5951472 2.163816 15
-0.5169193 0.1345111 2.042544 16
-0.5300022 -0.2295959 2.160378 17
-0.537617 -0.5267968 2.23396 18
-0.5412991 -0.5880746 2.158537 19
-0.5878379 0.6463848 2.016746 20
-0.7871541 0.06329582 1.981693 21
-0.8192226 0.1248775 1.972818 22
-0.4171772 0.0354166 1.991567 23
-0.4481656 0.1114781 1.951116 24
-0.59629 0.1362011 2.068847 0
-0.592689 0.4317002 2.042409 1
-0.5854639 0.7158179 2.005733 2
-0.6002206 0.8653973 2.002841 3
-0.7495157 0.6076519 2.007556 4
-0.7912828 0.3558093 2.023183 5
-0.7874629 0.1556398 1.980472 6
-0.7796802 0.1202085 1.981991 7
-0.4273397 0.6008785 2.01597 8
-0.3889427 0.3527225 2.030498 9
-0.3874818 0.1523976 1.987209 10
-0.413197 0.1158829 1.981785 11
-0.6565837 0.133611 2.028995 12
-0.646951 -0.2149943 2.145762 13
-0.6277602 -0.532693 2.222645 14
-0.6204671 -0.5951472 2.163816 15
-0.5169193 0.1345111 2.042544 16
-0.5300022 -0.2295959 2.160378 17
-0.537617 -0.5267968 2.23396 18
-0.5412991 -0.5880746 2.158537 19
-0.5878379 0.6463848 2.016746 20
-0.7871541 0.06329582 1.981693 21
-0.8192226 0.1248775 1.972818 22
-0.4171772 0.0354166 1.991567 23
-0.4481656 0.1114781 1.951116 24
-0.5962991 0.1361752 2.068789 0
-0.5926276 0.4315725 2.042312 1
-0.5853044 0.7155196 2.005569 2
-0.6001815 0.8654538 2.002908 3
-0.749483 0.6075424 2.007494 4
-0.7912492 0.3558539 2.023141 5
-0.7875208 0.1557348 1.980129 6
-0.7802349 0.1200747 1.982261 7
-0.4272994 0.6008121 2.015878 8
-0.3888692 0.3525685 2.030375 9
-0.3875259 0.1522626 1.986978 10
-0.4137508 0.1152995 1.982782 11
-0.6565922 0.1335744 2.028941 12
-0.6461782 -0.2142614 2.145537 13
-0.62775 -0.5327036 2.222742 14
-0.6204735 -0.5952176 2.163738 15
-0.5169281 0.1344942 2.042487 16
-0.5299419 -0.2293915 2.160241 17
-0.5395777 -0.5313762 2.233632 18
-0.541309 -0.5881598 2.158615 19
-0.5877064 0.6461354 2.016602 20
-0.7878684 0.06269854 1.97989 21
-0.8176342 0.1062417 1.97625 22
-0.4133919 0.0394183 1.988487 23
-0.4470785 0.1178112 1.952718 24
-0.5962244 0.1361555 2.068594 0
-0.5924814 0.4314064 2.041817 1
-0.5851364 0.7151396 2.004605 2
-0.60046 0.8657637 2.003259 3
-0.7495288 0.6076709 2.007534 4
-0.7911722 0.3559332 2.023025 5
-0.7875312 0.1557889 1.980158 6
-0.779186 0.1191997 1.980758 7
-0.4272339 0.6008894 2.015701 8
-0.3888071 0.3525691 2.030089 9
-0.3874671 0.1522471 1.986784 10
-0.4124195 0.1136986 1.98125 11
-0.6565113 0.1335367 2.028809 12
-0.6460494 -0.2140672 2.145256 13
-0.6278983 -0.5327835 2.222879 14
-0.6199585 -0.599744 2.157827 15
-0.5168647 0.1344941 2.042222 16
-0.5299774 -0.2293057 2.16015 17
-0.5411313 -0.533095 2.233478 18
-0.5426205 -0.5880357 2.158867 19
-0.587541 0.6458157 2.015777 20
-0.788856 0.06134862 1.980832 21
-0.8179029 0.1044423 1.976616 22
-0.4167064 0.03537675 1.989317 23
-0.4462616 0.1173275 1.951247 24
-0.5962013 0.1361194 2.068541 0
-0.592394 0.4314684 2.041995 1
-0.5848886 0.7156336 2.005704 2
-0.600408 0.8657526 2.003208 3
-0.7494363 0.607663 2.007524 4
-0.7911454 0.3558942 2.022992 5
-0.7876294 0.1556787 1.980552 6
-0.7790864 0.1196961 1.982443 7
-0.427175 0.6008233 2.015623 8
-0.3887806 0.3525302 2.029959 9
-0.3875103 0.1522153 1.986613 10
-0.4137206 0.1147789 1.982662 11
-0.6564885 0.1334967 2.028756 12
-0.6459669 -0.2119811 2.143684 13
-0.6275976 -0.532037 2.22263 14
-0.6206509 -0.598489 2.159034 15
-0.5168419 0.1344611 2.042173 16
-0.5299323 -0.2291656 2.160164 17
-0.5466155 -0.5452818 2.235168 18
-0.5426211 -0.5902884 2.157098 19
-0.5873353 0.6461602 2.01657 20
-0.7866036 0.05406968 1.9882 21
-0.8176342 0.1037475 1.979878 22
-0.4179005 0.03401008 1.988602 23
-0.4481795 0.1156936 1.952746 24
-0.5962013 0.1361194 2.068541 0
-0.592394 0.4314684 2.041995 1
-0.5848886 0.7156336 2.005704 2
-0.600408 0.8657526 2.003208 3
-0.7494363 0.607663 2.007524 4
-0.7911454 0.3558942 2.022992 5
-0.7876294 0.1556787 1.980552 6
