   X       Y         Z      JointType
-0.1256511 0.01965202 1.911398 0
-0.1207647 0.310538 1.881198 1
-0.1152356 0.5892605 1.838348 2
-0.1185449 0.7156987 1.861534 3
-0.2706685 0.4606877 1.830027 4
-0.3463663 0.2579079 1.904768 5
-0.3714565 0.05221086 1.845217 6
-0.3714594 -0.02165079 1.830079 7
0.03968982 0.4858538 1.862423 8
0.0729149 0.2537711 1.941122 9
0.08663514 0.03400277 1.838923 10
0.08133586 -0.04435812 1.816004 11
-0.1928987 0.0183893 1.866405 12
-0.2098428 -0.3052111 1.965902 13
-0.2303106 -0.625367 2.036131 14
-0.2169586 -0.6677274 1.917188 15
-0.05377856 0.02015068 1.88857 16
-0.06136515 -0.3046072 1.956741 17
-0.06261011 -0.6345453 2.049815 18
-0.05185603 -0.6767832 1.930723 19
-0.1167444 0.5212242 1.851218 20
-0.371773 -0.08858373 1.831822 21
-0.3610258 -0.06395867 1.849 22
0.08172253 -0.1072673 1.81067 23
0.07911578 -0.07419848 1.848444 24
-0.1256511 0.01965202 1.911398 0
-0.1207647 0.310538 1.881198 1
-0.1152356 0.5892605 1.838348 2
-0.1185449 0.7156987 1.861534 3
-0.2706685 0.4606877 1.830027 4
-0.3463663 0.2579079 1.904768 5
-0.3714565 0.05221086 1.845217 6
-0.3714594 -0.02165079 1.830079 7
0.03968982 0.4858538 1.862423 8
0.0729149 0.2537711 1.941122 9
0.08663514 0.03400277 1.838923 10
0.08133586 -0.04435812 1.816004 11
-0.1928987 0.0183893 1.866405 12
-0.2098428 -0.3052111 1.965902 13
-0.2303106 -0.625367 2.036131 14
-0.2169586 -0.6677274 1.917188 15
-0.05377856 0.02015068 1.88857 16
-0.06136515 -0.3046072 1.956741 17
-0.06261011 -0.6345453 2.049815 18
-0.05185603 -0.6767832 1.930723 19
-0.1167444 0.5212242 1.851218 20
-0.371773 -0.08858373 1.831822 21
-0.3610258 -0.06395867 1.849 22
0.08172253 -0.1072673 1.81067 23
0.07911578 -0.07419848 1.848444 24
-0.1253613 0.01949265 1.91183 0
-0.120667 0.3104298 1.881163 1
-0.1152712 0.5891764 1.83815 2
-0.118693 0.7156942 1.861675 3
-0.2707779 0.460724 1.83009 4
-0.346413 0.2577734 1.905719 5
-0.3713603 0.05250219 1.846 6
-0.3715746 -0.02143554 1.830283 7
0.03991354 0.4856679 1.862331 8
0.07300315 0.253776 1.940865 9
0.08676814 0.03519266 1.83974 10
0.08315522 -0.04477074 1.815872 11
-0.1925976 0.01815925 1.86695 12
-0.2099683 -0.3040321 1.964428 13
-0.2303373 -0.6260281 2.039583 14
-0.2170433 -0.6684194 1.920639 15
-0.05353815 0.02007445 1.888864 16
-0.06107252 -0.3075116 1.959165 17
-0.06251101 -0.6343793 2.049652 18
-0.05181176 -0.6766441 1.930562 19
-0.116751 0.5211405 1.851058 20
-0.3732595 -0.08646721 1.83047 21
-0.3941314 0.01441025 1.845 22
0.08145762 -0.105727 1.808995 23
0.118423 -0.07836445 1.828333 24
-0.1253613 0.01949265 1.91183 0
-0.120667 0.3104298 1.881163 1
-0.1152712 0.5891764 1.83815 2
-0.118693 0.7156942 1.861675 3
-0.2707779 0.460724 1.83009 4
-0.346413 0.2577734 1.905719 5
-0.3713603 0.05250219 1.846 6
-0.3715746 -0.02143554 1.830283 7
0.03991354 0.4856679 1.862331 8
0.07300315 0.253776 1.940865 9
0.08676814 0.03519266 1.83974 10
0.08315522 -0.04477074 1.815872 11
-0.1925976 0.01815925 1.86695 12
-0.2099683 -0.3040321 1.964428 13
-0.2303373 -0.6260281 2.039583 14
-0.2170433 -0.6684194 1.920639 15
-0.05353815 0.02007445 1.888864 16
-0.06107252 -0.3075116 1.959165 17
-0.06251101 -0.6343793 2.049652 18
-0.05181176 -0.6766441 1.930562 19
-0.116751 0.5211405 1.851058 20
-0.3732595 -0.08646721 1.83047 21
-0.3941314 0.01441025 1.845 22
0.08145762 -0.105727 1.808995 23
0.118423 -0.07836445 1.828333 24
-0.125336 0.01939957 1.912112 0
-0.1206735 0.3103844 1.881192 1
-0.1153034 0.5891274 1.838093 2
-0.1188008 0.7157487 1.861887 3
-0.270813 0.46075 1.830124 4
-0.3463849 0.2582287 1.906446 5
-0.3714055 0.0525079 1.846635 6
-0.3734877 -0.02097639 1.831464 7
0.03990706 0.4857209 1.862313 8
0.07311161 0.2537677 1.940222 9
0.08690709 0.03533122 1.839652 10
0.08561912 -0.04396571 1.815921 11
-0.192541 0.01805286 1.867272 12
-0.2099963 -0.3041321 1.964321 13
-0.2303418 -0.6257101 2.03916 14
-0.2170597 -0.6681185 1.92022 15
-0.05355028 0.02000314 1.889084 16
-0.06107354 -0.3078678 1.959508 17
-0.06273793 -0.6350048 2.050435 18
-0.05204871 -0.6772788 1.93135 19
-0.1167738 0.5210942 1.851022 20
-0.3746314 -0.08740187 1.833261 21
-0.3846506 -0.02352875 1.8422 22
0.08603283 -0.1070216 1.811184 23
0.08142846 -0.07847251 1.852545 24
-0.125336 0.01939957 1.912112 0
-0.1206735 0.3103844 1.881192 1
-0.1153034 0.5891274 1.838093 2
-0.1188008 0.7157487 1.861887 3
-0.270813 0.46075 1.830124 4
-0.3463849 0.2582287 1.906446 5
-0.3714055 0.0525079 1.846635 6
-0.3734877 -0.02097639 1.831464 7
0.03990706 0.4857209 1.862313 8
0.07311161 0.2537677 1.940222 9
0.08690709 0.03533122 1.839652 10
0.08561912 -0.04396571 1.815921 11
-0.192541 0.01805286 1.867272 12
-0.2099963 -0.3041321 1.964321 13
-0.2303418 -0.6257101 2.03916 14
-0.2170597 -0.6681185 1.92022 15
-0.05355028 0.02000314 1.889084 16
-0.06107354 -0.3078678 1.959508 17
-0.06273793 -0.6350048 2.050435 18
-0.05204871 -0.6772788 1.93135 19
-0.1167738 0.5210942 1.851022 20
-0.3746314 -0.08740187 1.833261 21
-0.3846506 -0.02352875 1.8422 22
0.08603283 -0.1070216 1.811184 23
0.08142846 -0.07847251 1.852545 24
-0.1254303 0.01943131 1.912493 0
-0.1206942 0.3103705 1.881251 1
