   X       Y         Z      JointType
-0.1560055 0.1201967 1.954449 0
-0.1678304 0.4193168 1.921741 1
-0.1783085 0.7058913 1.877995 2
-0.1628911 0.8435897 1.864358 3
-0.3279827 0.5716403 1.865765 4
-0.3769299 0.3413804 1.906872 5
-0.3960083 0.135798 1.849995 6
-0.393916 0.113653 1.855841 7
-0.01679807 0.6017969 1.879275 8
0.02704664 0.3391355 1.902644 9
0.08442129 0.1061354 1.859384 10
0.07570943 0.0779344 1.873559 11
-0.2222087 0.1155341 1.862555 12
-0.2549498 -0.1947634 2.021825 13
-0.2632407 -0.5043976 2.129733 14
-0.2309338 -0.5872822 2.092798 15
-0.08411467 0.1214883 1.97866 16
-0.08643585 -0.2117673 2.029071 17
-0.09194697 -0.4985799 2.129077 18
-0.08703826 -0.5515551 2.00233 19
-0.1758714 0.636081 1.890861 20
-0.3919524 0.03848505 1.87169 21
-0.3662144 0.1139141 1.83082 22
0.08085703 0.007732114 1.906278 23
0.05036614 0.06964114 1.868333 24
-0.1560779 0.1204269 1.954681 0
-0.1679132 0.4194326 1.922033 1
-0.1784128 0.7059207 1.878467 2
-0.1639348 0.8433709 1.865506 3
-0.3280894 0.5716777 1.866011 4
-0.3769235 0.3414732 1.907733 5
-0.396007 0.1360936 1.849997 6
-0.3956355 0.1149089 1.856409 7
-0.01692166 0.6020225 1.87972 8
0.02776452 0.3385627 1.903622 9
0.08425748 0.1066772 1.858847 10
0.07653473 0.07933576 1.874838 11
-0.2222376 0.1156771 1.862699 12
-0.2525671 -0.1939623 2.020533 13
-0.2632106 -0.5044721 2.12965 14
-0.2556192 -0.5573973 2.003135 15
-0.08438993 0.1215522 1.978557 16
-0.08608337 -0.2136247 2.030865 17
-0.09241915 -0.5013266 2.127928 18
-0.08743891 -0.554243 2.001198 19
-0.1759786 0.6361177 1.891268 20
-0.3933769 0.03872783 1.874124 21
-0.3654748 0.1177494 1.8517 22
0.08263003 0.01187133 1.903177 23
0.07316191 0.08025417 1.825882 24
-0.1560779 0.1204269 1.954681 0
-0.1679132 0.4194326 1.922033 1
-0.1784128 0.7059207 1.878467 2
-0.1639348 0.8433709 1.865506 3
-0.3280894 0.5716777 1.866011 4
-0.3769235 0.3414732 1.907733 5
-0.396007 0.1360936 1.849997 6
-0.3956355 0.1149089 1.856409 7
-0.01692166 0.6020225 1.87972 8
0.02776452 0.3385627 1.903622 9
0.08425748 0.1066772 1.858847 10
0.07653473 0.07933576 1.874838 11
-0.2222376 0.1156771 1.862699 12
-0.2525671 -0.1939623 2.020533 13
-0.2632106 -0.5044721 2.12965 14
-0.2556192 -0.5573973 2.003135 15
-0.08438993 0.1215522 1.978557 16
-0.08608337 -0.2136247 2.030865 17
-0.09241915 -0.5013266 2.127928 18
-0.08743891 -0.554243 2.001198 19
-0.1759786 0.6361177 1.891268 20
-0.3933769 0.03872783 1.874124 21
-0.3654748 0.1177494 1.8517 22
0.08263003 0.01187133 1.903177 23
0.07316191 0.08025417 1.825882 24
-0.1560779 0.1204269 1.954681 0
-0.1679132 0.4194326 1.922033 1
-0.1784128 0.7059207 1.878467 2
-0.1639348 0.8433709 1.865506 3
-0.3280894 0.5716777 1.866011 4
-0.3769235 0.3414732 1.907733 5
-0.396007 0.1360936 1.849997 6
-0.3956355 0.1149089 1.856409 7
-0.01692166 0.6020225 1.87972 8
0.02776452 0.3385627 1.903622 9
0.08425748 0.1066772 1.858847 10
0.07653473 0.07933576 1.874838 11
-0.2222376 0.1156771 1.862699 12
-0.2525671 -0.1939623 2.020533 13
-0.2632106 -0.5044721 2.12965 14
-0.2556192 -0.5573973 2.003135 15
-0.08438993 0.1215522 1.978557 16
-0.08608337 -0.2136247 2.030865 17
-0.09241915 -0.5013266 2.127928 18
-0.08743891 -0.554243 2.001198 19
-0.1759786 0.6361177 1.891268 20
-0.3933769 0.03872783 1.874124 21
-0.3654748 0.1177494 1.8517 22
0.08263003 0.01187133 1.903177 23
0.07316191 0.08025417 1.825882 24
-0.1560722 0.1204753 1.954785 0
-0.1679164 0.4194608 1.922138 1
-0.1784199 0.705929 1.878579 2
-0.1645182 0.8426284 1.86445 3
-0.3282304 0.5716838 1.866145 4
-0.3769614 0.3416041 1.908221 5
-0.3960213 0.1363327 1.85002 6
-0.3953426 0.1143593 1.857205 7
-0.01692623 0.6020232 1.879717 8
0.02782081 0.3385095 1.903706 9
0.08439478 0.107218 1.859109 10
0.07782861 0.07916193 1.873922 11
-0.2222236 0.1156953 1.862743 12
-0.2523277 -0.1937603 2.020332 13
-0.2631624 -0.5045294 2.129596 14
-0.2556202 -0.5574524 2.003081 15
-0.08440693 0.1215849 1.978638 16
-0.08603211 -0.2138885 2.031042 17
-0.09245533 -0.502302 2.128019 18
-0.08752334 -0.5552033 2.001292 19
-0.1759867 0.6361282 1.891378 20
-0.3925339 0.03962062 1.870916 21
-0.3678078 0.1054374 1.834269 22
0.08262866 0.01186904 1.903177 23
0.05869031 0.07213283 1.837815 24
-0.1560751 0.1204967 1.954794 0
-0.1679267 0.4194727 1.922164 1
-0.1784416 0.705926 1.878644 2
-0.1646424 0.8432236 1.865821 3
-0.3283777 0.5716894 1.86627 4
-0.3769799 0.3416674 1.90835 5
-0.3961261 0.136398 1.850178 6
-0.3961005 0.1146962 1.857921 7
-0.01690329 0.6021996 1.879954 8
0.02793596 0.3384494 1.9038 9
0.0858945 0.1006528 1.863012 10
0.07872485 0.07505173 1.87518 11
-0.2222134 0.1157201 1.862712 12
-0.2516401 -0.1936245 2.019414 13
-0.2631673 -0.5045005 2.12956 14
-0.1917075 -0.5636924 2.095425 15
-0.08442839 0.1215994 1.978663 16
-0.08576714 -0.2128166 2.030766 17
-0.09267706 -0.5018686 2.127339 18
-0.08770593 -0.5547713 2.000612 19
-0.1760063 0.6361284 1.891431 20
-0.393712 0.04262425 1.868713 21
-0.3719716 0.1132789 1.828681 22
0.08606893 0.01083945 1.908242 23
0.07568891 0.08096189 1.82668 24
-0.1560809 0.1205391 1.954792 0
-0.167938 0.4194962 1.922194 1
-0.178464 0.7059336 1.878742 2
-0.1650534 0.8429969 1.865411 3
-0.3285352 0.5717116 1.866429 4
-0.3770951 0.3417872 1.908915 5
-0.3961782 0.1366015 1.850369 6
-0.3962999 0.1143531 1.858929 7
-0.01696202 0.6022703 1.88005 8
0.02807821 0.3377339 1.904264 9
0.08600314 0.1033688 1.863049 10
0.07856432 0.06804439 1.87978 11
-0.2222426 0.1157759 1.862802 12
-0.2512288 -0.1929678 2.018841 13
-0.2631643 -0.5044624 2.129522 14
-0.255611 -0.5573793 2.003005 15
-0.08442426 0.1216723 1.978475 16
-0.08574612 -0.2127531 2.030779 17
-0.09253196 -0.4940426 2.128641 18
-0.08758704 -0.5470604 2.001883 19
-0.1760269 0.6361395 1.891507 20
-0.3958634 0.04320684 1.871711 21
-0.3656852 0.091471 1.867182 22
0.0819327 0.006925193 1.918415 23
0.0574807 0.06705201 1.846375 24
-0.1560809 0.1205391 1.954792 0
-0.167938 0.4194962 1.922194 1
-0.178464 0.7059336 1.878742 2
-0.1650534 0.8429969 1.865411 3
-0.3285352 0.5717116 1.866429 4
-0.3770951 0.3417872 1.908915 5
-0.3961782 0.1366015 1.850369 6
-0.3962999 0.1143531 1.858929 7
-0.01696202 0.6022703 1.88005 8
0.02807821 0.3377339 1.904264 9
0.08600314 0.1033688 1.863049 10
0.07856432 0.06804439 1.87978 11
-0.2222426 0.1157759 1.862802 12
-0.2512288 -0.1929678 2.018841 13
-0.2631643 -0.5044624 2.129522 14
-0.255611 -0.5573793 2.003005 15
-0.08442426 0.1216723 1.978475 16
-0.08574612 -0.2127531 2.030779 17
-0.09253196 -0.4940426 2.128641 18
-0.08758704 -0.5470604 2.001883 19
-0.1760269 0.6361395 1.891507 20
-0.3958634 0.04320684 1.871711 21
-0.3656852 0.091471 1.867182 22
0.0819327 0.006925193 1.918415 23
0.0574807 0.06705201 1.846375 24
-0.1560809 0.1205391 1.954792 0
-0.167938 0.4194962 1.922194 1
-0.178464 0.7059336 1.878742 2
-0.1650534 0.8429969 1.865411 3
-0.3285352 0.5717116 1.866429 4
-0.3770951 0.3417872 1.908915 5
-0.3961782 0.1366015 1.850369 6
-0.3962999 0.1143531 1.858929 7
