   X       Y         Z      JointType
-0.2739289 -0.54185 1.728217 0
-0.2622853 -0.2401172 1.786931 1
-0.2486143 0.05078232 1.829167 2
-0.2431083 0.1633583 1.863101 3
-0.4015693 -0.06818745 1.786954 4
-0.4728937 -0.3084707 1.744636 5
-0.4917275 -0.4837582 1.635876 6
-0.4900761 -0.5270862 1.62541 7
-0.08672494 -0.08995194 1.837175 8
-0.03753502 -0.3104015 1.799585 9
0.002351641 -0.4855337 1.695968 10
0.001151945 -0.5224588 1.664975 11
-0.3404773 -0.5252234 1.684482 12
-0.3298703 -0.8107975 1.656743 13
-0.1966048 -0.5371557 1.703967 16
-0.1869638 -0.8288977 1.65977 17
-0.2523794 -0.02054697 1.821018 20
-0.4839567 -0.6049842 1.605857 21
-0.4495382 -0.5393045 1.60875 22
-0.0005081389 -0.5909791 1.649402 23
-0.0151718 -0.5396923 1.695643 24
-0.2739289 -0.54185 1.728217 0
-0.2622853 -0.2401172 1.786931 1
-0.2486143 0.05078232 1.829167 2
-0.2431083 0.1633583 1.863101 3
-0.4015693 -0.06818745 1.786954 4
-0.4728937 -0.3084707 1.744636 5
-0.4917275 -0.4837582 1.635876 6
-0.4900761 -0.5270862 1.62541 7
-0.08672494 -0.08995194 1.837175 8
-0.03753502 -0.3104015 1.799585 9
0.002351641 -0.4855337 1.695968 10
0.001151945 -0.5224588 1.664975 11
-0.3404773 -0.5252234 1.684482 12
-0.3298703 -0.8107975 1.656743 13
-0.1966048 -0.5371557 1.703967 16
-0.1869638 -0.8288977 1.65977 17
-0.2523794 -0.02054697 1.821018 20
-0.4839567 -0.6049842 1.605857 21
-0.4495382 -0.5393045 1.60875 22
-0.0005081389 -0.5909791 1.649402 23
-0.0151718 -0.5396923 1.695643 24
-0.2741105 -0.5419941 1.727923 0
-0.2626013 -0.2403886 1.786784 1
-0.2492681 0.05052841 1.829362 2
-0.245086 0.1629182 1.863585 3
-0.4018881 -0.0687307 1.787185 4
-0.4727212 -0.308349 1.744744 5
-0.4911508 -0.4837695 1.636272 6
-0.4876245 -0.5260643 1.625538 7
-0.08711293 -0.09007766 1.83724 8
-0.03801975 -0.3104193 1.799021 9
0.001870173 -0.4852165 1.694916 10
-0.0004206391 -0.5166433 1.666132 11
-0.3406715 -0.5253912 1.684354 12
