X              Y         Z      JointType 
-0.03395043 -0.02041384 1.427479 0 SpineBase
-0.03258445 0.2676838 1.358309 1 SpineMid
-0.03091657 0.5404203 1.27708 2 Neck
-0.1475514 0.4016748 1.236235 4 ShoulderLeft
-0.1485623 0.1560845 1.235638 5 ElbowLeft
-0.05649743 -0.02051679 1.235189 6 WristLeft
-0.01785205 -0.0463409 1.259506 7 HandLeft
0.1369496 0.4372777 1.352551 8 ShoulderRight
0.1597393 0.2119858 1.386907 9 ElbowRight
0.1327394 0.0261906 1.311641 10 WristRight
0.1074312 0.004854745 1.31177 11 HandRight
-0.0987578 -0.02847369 1.371494 12 HipLeft
-0.1401944 -0.2924594 1.473613 13 KneeLeft
-0.1601279 -0.6225953 1.625417 14 AnkleLeft
-0.1650296 -0.6757996 1.590569 15 FootLeft
0.03235007 -0.01140017 1.415643 16 HipRight
0.06378907 -0.2997834 1.353438 17 KneeRight
0.03216568 -0.6283528 1.450198 18 AnkleRight
0.06958796 -0.6946939 1.430205 19 FootRight
-0.03137954 0.4744532 1.299229 20 SpineShoulder
-0.004884799 -0.06945651 1.272383 21 HandTipLeft
0.01261431 -0.02500481 1.249111 22 ThumbLeft
0.09894252 -0.02645374 1.295749 23 HandTipRight
0.09663292 0.02929086 1.281 24 ThumbRight
-0.01762632 -0.03414313 1.385969 0 SpineBase
-0.01457874 0.2543474 1.313073 1 SpineMid
-0.01144183 0.5271465 1.227825 2 Neck
-0.1235825 0.3848277 1.185291 4 ShoulderLeft
-0.1175249 0.1293678 1.186779 5 ElbowLeft
0.001142949 -0.03337626 1.19158 6 WristLeft
0.01600427 -0.06332742 1.215756 7 HandLeft
0.1528335 0.4208856 1.312414 8 ShoulderRight
0.1743081 0.1913949 1.345669 9 ElbowRight
0.1373896 0.001312822 1.279576 10 WristRight
0.114788 -0.04805988 1.264178 11 HandRight
-0.08163498 -0.04211552 1.327512 12 HipLeft
-0.1286347 -0.2988239 1.453381 13 KneeLeft
-0.1583351 -0.6240831 1.624595 14 AnkleLeft
-0.1654665 -0.6927382 1.587431 15 FootLeft
0.04711973 -0.02450758 1.37658 16 HipRight
0.09406013 -0.3265158 1.298326 17 KneeRight
0.1080238 -0.6523889 1.307775 18 AnkleRight
0.142938 -0.6910428 1.20821 19 FootRight
-0.01223633 0.4612286 1.250982 20 SpineShoulder
0.04602997 -0.1058801 1.232879 21 HandTipLeft
0.05505292 -0.04438433 1.235866 22 ThumbLeft
0.1016108 -0.1063694 1.25395 23 HandTipRight
0.0915195 -0.0386691 1.234314 24 ThumbRight
0.04649345 -0.07400347 1.27241 0 SpineBase
0.05359663 0.2215047 1.192752 1 SpineMid
0.05959832 0.4998074 1.099883 2 Neck
-0.05172558 0.3371742 1.070783 4 ShoulderLeft
-0.04294696 0.08154885 1.073044 5 ElbowLeft
0.0639138 -0.08854394 1.075899 6 WristLeft
0.07811255 -0.1167079 1.0991 7 HandLeft
0.2221496 0.3695714 1.182425 8 ShoulderRight
0.2502116 0.1503025 1.229497 9 ElbowRight
0.2335363 -0.04029462 1.157301 10 WristRight
