X              Y         Z      JointType 
0.2681816 -0.6621798 0.8447961 0 SpineBase
0.2928304 -0.379745 0.7654315 1 SpineMid
0.3076223 -0.09802038 0.6690328 2 Neck
0.1535965 -0.1188425 0.6538163 4 ShoulderLeft
0.2403194 -0.04764701 0.533051 6 WristLeft
0.249792 0.03331025 0.5500851 7 HandLeft
0.3773106 -0.1910567 0.6321933 8 ShoulderRight
0.306875 -0.07848688 0.6178056 11 HandRight
0.305685 -0.1674711 0.6961375 20 SpineShoulder
0.2694305 0.1111598 0.5416763 21 HandTipLeft
0.2895506 0.01385507 0.522 22 ThumbLeft
0.2874193 -0.0314647 0.5793759 23 HandTipRight
0.3107901 -0.01930471 0.5846972 24 ThumbRight
0.2681409 -0.6619561 0.8447928 0 SpineBase
0.2927509 -0.3797159 0.7655371 1 SpineMid
0.3074944 -0.09814383 0.6692382 2 Neck
0.1535286 -0.1188655 0.6538681 4 ShoulderLeft
0.2821825 -0.08305761 0.5413516 6 WristLeft
0.3007126 -0.01141231 0.5517245 7 HandLeft
0.3772453 -0.1910765 0.6322457 8 ShoulderRight
0.3066655 -0.0785928 0.6182472 11 HandRight
0.3055651 -0.1675555 0.6963233 20 SpineShoulder
0.3183799 0.02654468 0.5233775 21 HandTipLeft
0.307894 -0.03628513 0.5557619 22 ThumbLeft
0.2936787 -0.02899357 0.5867153 23 HandTipRight
0.3109646 -0.01948979 0.5864534 24 ThumbRight
0.2652623 -0.6687115 0.8471266 0 SpineBase
0.2915265 -0.3816154 0.7670482 1 SpineMid
0.3071955 -0.09793665 0.6698839 2 Neck
0.1533664 -0.1187322 0.6540782 4 ShoulderLeft
0.2393362 -0.04735291 0.5338261 6 WristLeft
0.2505553 0.0341801 0.5515833 7 HandLeft
0.3770853 -0.1909393 0.6324624 8 ShoulderRight
0.3062835 -0.0768175 0.6186227 11 HandRight
0.3051434 -0.1676699 0.6970877 20 SpineShoulder
0.2694858 0.1114882 0.5433707 21 HandTipLeft
0.290215 0.0141182 0.5229091 22 ThumbLeft
0.2843177 -0.03454587 0.5799378 23 HandTipRight
0.3120393 -0.02210391 0.5832992 24 ThumbRight
0.2634523 -0.6657565 0.8474346 0 SpineBase
0.2914585 -0.3813986 0.7670839 1 SpineMid
0.3079551 -0.09814085 0.6697078 2 Neck
0.16532 -0.06016477 0.6575531 4 ShoulderLeft
0.1070451 -0.2462123 0.555675 5 ElbowLeft
0.1835066 -0.007405348 0.6161758 6 WristLeft
0.2312573 0.05267636 0.5840775 7 HandLeft
0.377962 -0.1911436 0.6319603 8 ShoulderRight
0.3029778 -0.07604498 0.6193383 11 HandRight
0.3054962 -0.1677302 0.6970241 20 SpineShoulder
0.2707128 0.1338755 0.5828447 21 HandTipLeft
0.2402195 0.02407857 0.5122045 22 ThumbLeft
0.2829517 -0.03535432 0.5848084 23 HandTipRight
0.3101792 -0.02487505 0.5800201 24 ThumbRight
0.264872 -0.6617802 0.8461313 0 SpineBase
0.2909686 -0.3800266 0.7671664 1 SpineMid
0.3064407 -0.0974604 0.6704242 2 Neck
0.1643259 -0.05978961 0.6579095 4 ShoulderLeft
0.183506 -0.007260231 0.6162294 6 WristLeft
0.2312867 0.05519343 0.5860252 7 HandLeft
0.377347 -0.1908724 0.6321963 8 ShoulderRight
0.3007619 -0.07695024 0.6209924 11 HandRight
0.304361 -0.166987 0.6975487 20 SpineShoulder
0.2726982 0.1364356 0.5899876 21 HandTipLeft
0.2418491 0.0293823 0.5142187 22 ThumbLeft
0.2918822 -0.03215395 0.5912358 23 HandTipRight
0.3080723 -0.02016692 0.5820251 24 ThumbRight
0.2615679 -0.6479745 0.8530915 0 SpineBase
0.2867596 -0.3733922 0.7718543 1 SpineMid
0.3017719 -0.09567231 0.6732715 2 Neck
0.1601191 -0.06063158 0.6600745 4 ShoulderLeft
