X              Y         Z      JointType 
-0.08532319 0.07844638 1.632655 0 SpineBase
-0.0601383 0.3744888 1.593874 1 SpineMid
-0.04256758 0.657146 1.541061 2 Neck
-0.1585087 0.5715823 1.611682 4 ShoulderLeft
-0.1778764 0.2889648 1.556092 5 ElbowLeft
-0.1760488 0.02287544 1.635766 6 WristLeft
-0.1691214 -0.06127829 1.658592 7 HandLeft
0.02406184 0.4805844 1.421292 8 ShoulderRight
0.04153194 0.2727076 1.362385 9 ElbowRight
-0.1978722 0.2996598 1.432217 10 WristRight
-0.2436588 0.3006367 1.45315 11 HandRight
-0.1298216 0.09894841 1.623835 12 HipLeft
-0.1366353 -0.2313671 1.750445 13 KneeLeft
-0.1173625 -0.5250524 1.831091 14 AnkleLeft
-0.1802379 -0.5620553 1.742995 15 FootLeft
-0.03894383 0.05345121 1.56763 16 HipRight
0.02690497 -0.2134416 1.547027 17 KneeRight
0.0683414 -0.6212037 1.62035 18 AnkleRight
0.02665355 -0.6802309 1.598137 19 FootRight
-0.0464556 0.5886909 1.554732 20 SpineShoulder
-0.1673041 -0.1262713 1.680597 21 HandTipLeft
-0.1963747 -0.03299497 1.6655 22 ThumbLeft
-0.2721719 0.276876 1.51372 23 HandTipRight
-0.2562643 0.3237112 1.430461 24 ThumbRight
-0.1088872 0.06645974 1.664134 0 SpineBase
-0.0913578 0.3689034 1.625495 1 SpineMid
-0.07433318 0.656521 1.574907 2 Neck
-0.2084701 0.5815106 1.64173 4 ShoulderLeft
-0.1793796 0.3300966 1.48614 5 ElbowLeft
-0.2511343 0.2723183 1.663104 6 WristLeft
-0.2479284 0.2506421 1.671067 7 HandLeft
0.02120851 0.4911206 1.478639 8 ShoulderRight
0.05812929 0.2769893 1.455292 9 ElbowRight
-0.2106932 0.2889532 1.472112 10 WristRight
-0.265844 0.2918105 1.511912 11 HandRight
-0.1572821 0.08447077 1.669213 12 HipLeft
-0.1820406 -0.296688 1.804457 13 KneeLeft
-0.1154749 -0.5951877 1.866577 14 AnkleLeft
-0.1312385 -0.6616529 1.837724 15 FootLeft
-0.05554063 0.04502594 1.588368 16 HipRight
-0.026613 -0.3006669 1.584371 17 KneeRight
0.04723172 -0.6241245 1.643275 18 AnkleRight
0.02037198 -0.6774468 1.599879 19 FootRight
-0.0786619 0.5866847 1.5894 20 SpineShoulder
-0.2592949 0.2594465 1.694717 21 HandTipLeft
-0.2635528 0.2693695 1.647429 22 ThumbLeft
-0.3024326 0.3046432 1.537232 23 HandTipRight
-0.286709 0.308651 1.504267 24 ThumbRight
-0.1175151 0.06514774 1.680104 0 SpineBase
-0.1016048 0.3676176 1.6381 1 SpineMid
-0.08577223 0.6550405 1.584996 2 Neck
-0.2221766 0.5779892 1.646083 4 ShoulderLeft
-0.2722017 0.4187566 1.752467 5 ElbowLeft
-0.2550489 0.295443 1.517978 6 WristLeft
-0.2170735 0.2787473 1.475399 7 HandLeft
0.02568373 0.4958537 1.499621 8 ShoulderRight
0.08540986 0.2990847 1.486326 9 ElbowRight
-0.14259 0.2814604 1.450203 10 WristRight
-0.1783958 0.2795173 1.448341 11 HandRight
-0.1691696 0.08202123 1.680226 12 HipLeft
-0.1922815 -0.3082644 1.818384 13 KneeLeft
-0.1191208 -0.5988011 1.867994 14 AnkleLeft
-0.1363455 -0.6634371 1.84002 15 FootLeft
-0.06051042 0.04547737 1.610583 16 HipRight
-0.03977084 -0.2996676 1.594729 17 KneeRight
