X              Y         Z      JointType 
0.04934024 -0.3759256 1.638244 0 SpineBase
0.05175079 -0.05911132 1.657712 1 SpineMid
0.05359609 0.2453904 1.661416 2 Neck
-0.106264 0.129738 1.631569 4 ShoulderLeft
-0.1834726 -0.1080131 1.668341 5 ElbowLeft
-0.2616656 -0.2836548 1.595146 6 WristLeft
-0.2863599 -0.3557332 1.564036 7 HandLeft
0.2174404 0.1053128 1.62443 8 ShoulderRight
0.257788 -0.1168531 1.627084 9 ElbowRight
0.2976707 -0.3115504 1.524788 10 WristRight
0.2989844 -0.3627791 1.496554 11 HandRight
-0.02619797 -0.3620738 1.606486 12 HipLeft
-0.008790554 -0.7221899 1.607989 13 KneeLeft
0.02116707 -1.064405 1.646279 14 AnkleLeft
0.1227215 -0.373322 1.59829 16 HipRight
0.128583 -0.6790789 1.567105 17 KneeRight
0.1305459 -1.078023 1.616549 18 AnkleRight
0.05322184 0.1709412 1.662958 20 SpineShoulder
-0.2870414 -0.4137303 1.53226 21 HandTipLeft
-0.2574763 -0.374003 1.530636 22 ThumbLeft
0.3112094 -0.4267261 1.473644 23 HandTipRight
0.2727028 -0.3795125 1.468276 24 ThumbRight
0.05043968 -0.3727453 1.640776 0 SpineBase
0.05258024 -0.05812003 1.658997 1 SpineMid
0.05425643 0.2452694 1.662117 2 Neck
-0.1056892 0.1295475 1.632488 4 ShoulderLeft
-0.1806996 -0.1079002 1.670951 5 ElbowLeft
-0.2590282 -0.2825778 1.597142 6 WristLeft
-0.2842332 -0.356712 1.572405 7 HandLeft
0.2177281 0.1052847 1.62483 8 ShoulderRight
0.2620345 -0.1133514 1.63135 9 ElbowRight
0.3092066 -0.2987739 1.538246 10 WristRight
0.3174619 -0.3551283 1.511979 11 HandRight
-0.02503406 -0.3588634 1.609726 12 HipLeft
-0.006049191 -0.7197126 1.6071 13 KneeLeft
-0.0356308 -1.055831 1.655859 14 AnkleLeft
0.1237267 -0.3703581 1.600344 16 HipRight
0.1296865 -0.6419748 1.574263 17 KneeRight
0.1335853 -1.08259 1.606734 18 AnkleRight
0.05390191 0.1710296 1.663741 20 SpineShoulder
-0.2902291 -0.419365 1.546758 21 HandTipLeft
-0.2645783 -0.3446545 1.538857 22 ThumbLeft
0.3310593 -0.4266629 1.48977 23 HandTipRight
0.295535 -0.3768363 1.473703 24 ThumbRight
0.05497681 -0.3718818 1.651048 0 SpineBase
0.05938107 -0.05899335 1.671708 1 SpineMid
0.06351656 0.2418826 1.6773 2 Neck
-0.09375798 0.126637 1.650223 4 ShoulderLeft
-0.1714045 -0.1069645 1.688092 5 ElbowLeft
-0.2523172 -0.2796839 1.60389 6 WristLeft
-0.2720103 -0.3535743 1.581094 7 HandLeft
0.2265033 0.1062237 1.639977 8 ShoulderRight
0.2794074 -0.1078075 1.648003 9 ElbowRight
0.3288283 -0.2842874 1.555631 10 WristRight
0.3419825 -0.3519545 1.524612 11 HandRight
-0.02021771 -0.3587897 1.622201 12 HipLeft
-0.006291586 -0.6834986 1.590691 13 KneeLeft
0.01675362 -1.057039 1.62368 14 AnkleLeft
0.1278163 -0.3690048 1.608761 16 HipRight
0.1366244 -0.6515965 1.585311 17 KneeRight
0.1393629 -1.068359 1.607888 18 AnkleRight
0.06254786 0.168316 1.678314 20 SpineShoulder
-0.2831472 -0.431205 1.557033 21 HandTipLeft
-0.24358 -0.362536 1.548042 22 ThumbLeft
0.3582 -0.4302992 1.502573 23 HandTipRight
0.3185952 -0.361885 1.482231 24 ThumbRight
0.05497681 -0.3718818 1.651048 0 SpineBase
0.05938107 -0.05899335 1.671708 1 SpineMid
0.06351656 0.2418826 1.6773 2 Neck
-0.09375798 0.126637 1.650223 4 ShoulderLeft
-0.1714045 -0.1069645 1.688092 5 ElbowLeft
-0.2523172 -0.2796839 1.60389 6 WristLeft
-0.2720103 -0.3535743 1.581094 7 HandLeft
0.2265033 0.1062237 1.639977 8 ShoulderRight
0.2794074 -0.1078075 1.648003 9 ElbowRight
0.3288283 -0.2842874 1.555631 10 WristRight
0.3419825 -0.3519545 1.524612 11 HandRight
-0.02021771 -0.3587897 1.622201 12 HipLeft
-0.006291586 -0.6834986 1.590691 13 KneeLeft
0.01675362 -1.057039 1.62368 14 AnkleLeft
0.1278163 -0.3690048 1.608761 16 HipRight
0.1366244 -0.6515965 1.585311 17 KneeRight
0.1393629 -1.068359 1.607888 18 AnkleRight
0.06254786 0.168316 1.678314 20 SpineShoulder
-0.2831472 -0.431205 1.557033 21 HandTipLeft
-0.24358 -0.362536 1.548042 22 ThumbLeft
0.3582 -0.4302992 1.502573 23 HandTipRight
0.3185952 -0.361885 1.482231 24 ThumbRight
0.05497681 -0.3718818 1.651048 0 SpineBase
0.05938107 -0.05899335 1.671708 1 SpineMid
0.06351656 0.2418826 1.6773 2 Neck
-0.09375798 0.126637 1.650223 4 ShoulderLeft
-0.1714045 -0.1069645 1.688092 5 ElbowLeft
-0.2523172 -0.2796839 1.60389 6 WristLeft
-0.2720103 -0.3535743 1.581094 7 HandLeft
0.2265033 0.1062237 1.639977 8 ShoulderRight
0.2794074 -0.1078075 1.648003 9 ElbowRight
0.3288283 -0.2842874 1.555631 10 WristRight
0.3419825 -0.3519545 1.524612 11 HandRight
-0.02021771 -0.3587897 1.622201 12 HipLeft
-0.006291586 -0.6834986 1.590691 13 KneeLeft
0.01675362 -1.057039 1.62368 14 AnkleLeft
0.1278163 -0.3690048 1.608761 16 HipRight
0.1366244 -0.6515965 1.585311 17 KneeRight
0.1393629 -1.068359 1.607888 18 AnkleRight
0.06254786 0.168316 1.678314 20 SpineShoulder
-0.2831472 -0.431205 1.557033 21 HandTipLeft
-0.24358 -0.362536 1.548042 22 ThumbLeft
0.3582 -0.4302992 1.502573 23 HandTipRight
0.3185952 -0.361885 1.482231 24 ThumbRight
0.05284774 -0.3715619 1.662804 0 SpineBase
0.0605123 -0.06016545 1.687516 1 SpineMid
0.0685325 0.2389196 1.698002 2 Neck
-0.09063701 0.1217887 1.663704 4 ShoulderLeft
-0.158431 -0.1125641 1.707285 5 ElbowLeft
-0.2329068 -0.2815671 1.620625 6 WristLeft
-0.2622298 -0.3482904 1.592956 7 HandLeft
0.2293417 0.1068026 1.66312 8 ShoulderRight
0.2850603 -0.1022768 1.666918 9 ElbowRight
0.3528904 -0.2733281 1.579184 10 WristRight
0.3665025 -0.3270707 1.539365 11 HandRight
-0.02239042 -0.3597889 1.633767 12 HipLeft
-0.009031151 -0.6872944 1.594203 13 KneeLeft
0.01122366 -1.059835 1.622628 14 AnkleLeft
0.1258417 -0.3674467 1.620678 16 HipRight
0.1373915 -0.6725734 1.593162 17 KneeRight
0.1415925 -1.067566 1.617887 18 AnkleRight
0.06654231 0.1657994 1.697731 20 SpineShoulder
-0.3025476 -0.4182432 1.562202 21 HandTipLeft
-0.2402379 -0.3695382 1.543 22 ThumbLeft
0.3961963 -0.4001398 1.509396 23 HandTipRight
0.3546089 -0.3410108 1.487103 24 ThumbRight
0.04143128 -0.3726186 1.673549 0 SpineBase
0.05099922 -0.06201305 1.701392 1 SpineMid
0.06032353 0.2365281 1.714799 2 Neck
-0.09591249 0.1197685 1.675517 4 ShoulderLeft
-0.1639414 -0.1151103 1.720275 5 ElbowLeft
-0.2451019 -0.2766148 1.62692 6 WristLeft
-0.294475 -0.3237964 1.590442 7 HandLeft
0.2200217 0.1028146 1.683415 8 ShoulderRight
0.281116 -0.1002244 1.685604 9 ElbowRight
0.3655907 -0.2583087 1.589638 10 WristRight
0.425234 -0.3182472 1.551601 11 HandRight
-0.03288407 -0.3607262 1.642863 12 HipLeft
-0.04235438 -0.7072649 1.635237 13 KneeLeft
-0.02131896 -1.059516 1.67182 14 AnkleLeft
0.1140025 -0.3686767 1.63316 16 HipRight
0.131929 -0.6729203 1.592858 17 KneeRight
0.1256397 -1.070263 1.621785 18 AnkleRight
0.05805493 0.1634996 1.713824 20 SpineShoulder
-0.3188488 -0.363261 1.579034 21 HandTipLeft
-0.2828149 -0.3442604 1.544533 22 ThumbLeft
0.4688137 -0.3818959 1.518651 23 HandTipRight
0.4135319 -0.2993483 1.492714 24 ThumbRight
