X              Y         Z      JointType 
-0.2332232 0.08886555 1.961962 0 SpineBase
-0.2224072 0.3771462 1.882166 1 SpineMid
-0.2102988 0.6535363 1.791062 2 Neck
-0.3458816 0.5548152 1.799889 4 ShoulderLeft
-0.1514436 0.4456128 1.646949 5 ElbowLeft
-0.07673768 0.5883222 1.833679 8 ShoulderRight
0.009947555 0.3817374 1.819408 9 ElbowRight
-0.2907085 0.07960142 1.921676 12 HipLeft
-0.3078543 -0.1355567 1.886803 13 KneeLeft
-0.3160585 -0.4749196 1.975625 14 AnkleLeft
-0.2972744 -0.5274073 1.852224 15 FootLeft
-0.1675049 0.09499448 1.93302 16 HipRight
-0.1539721 -0.1865739 1.970387 17 KneeRight
-0.1461228 -0.5125066 2.094316 18 AnkleRight
-0.1302656 -0.5647835 1.970631 19 FootRight
-0.213551 0.5861937 1.815795 20 SpineShoulder
-0.2286392 0.102075 1.925807 0 SpineBase
-0.2200305 0.3841131 1.875637 1 SpineMid
-0.2083178 0.6603832 1.806549 2 Neck
-0.3433093 0.5562547 1.813491 4 ShoulderLeft
-0.4277545 0.3458197 1.902945 5 ElbowLeft
-0.06971868 0.5769373 1.849049 8 ShoulderRight
-0.00076488 0.4062701 1.940958 9 ElbowRight
-0.05962605 0.3036632 1.717131 10 WristRight
-0.09675718 0.2681724 1.671189 11 HandRight
-0.2867766 0.09650081 1.885542 12 HipLeft
-0.2998228 -0.2196202 1.914869 13 KneeLeft
-0.3100496 -0.5893424 2.02202 14 AnkleLeft
-0.3185092 -0.6588585 1.960463 15 FootLeft
-0.1623741 0.1042498 1.897652 16 HipRight
-0.1407059 -0.2090139 1.980034 17 KneeRight
-0.1513667 -0.5945573 2.096571 18 AnkleRight
-0.1146711 -0.6594172 2.112594 19 FootRight
-0.2116801 0.592503 1.824193 20 SpineShoulder
-0.1135769 0.2407859 1.62877 23 HandTipRight
-0.1525249 0.2555399 1.706429 24 ThumbRight
-0.2283683 0.1041726 1.927626 0 SpineBase
