X              Y         Z      JointType 
-0.0621136 -0.4247314 1.289786 0 SpineBase
-0.0472242 -0.1072731 1.335217 1 SpineMid
-0.03252842 0.1952981 1.362367 2 Neck
-0.1634032 0.06189708 1.27564 4 ShoulderLeft
-0.2264609 0.00120118 1.057323 5 ElbowLeft
-0.2329014 0.002067376 0.8579743 6 WristLeft
-0.2284447 0.03456378 0.8177094 7 HandLeft
0.1039007 0.07295969 1.288573 8 ShoulderRight
0.1511739 -0.04025415 1.081183 9 ElbowRight
0.138645 -0.03688383 0.8821325 10 WristRight
0.1232468 -7.430225E-05 0.8150439 11 HandRight
-0.122175 -0.4157369 1.256269 12 HipLeft
-0.122587 -0.7413439 1.130208 13 KneeLeft
0.001327818 -0.410829 1.253775 16 HipRight
0.01811418 -0.7438436 1.237201 17 KneeRight
-0.03617962 0.1216708 1.358166 20 SpineShoulder
-0.2302397 0.05482445 0.7279068 21 HandTipLeft
-0.2570198 0.02674295 0.81625 22 ThumbLeft
0.1139455 0.01960229 0.7240914 23 HandTipRight
0.09024345 0.008048963 0.8295 24 ThumbRight
-0.06411429 -0.4244819 1.292172 0 SpineBase
-0.04811434 -0.107172 1.336827 1 SpineMid
-0.03271639 0.1953266 1.363439 2 Neck
-0.1634327 0.06195953 1.2767 4 ShoulderLeft
-0.2201576 0.003237223 1.102022 5 ElbowLeft
-0.2305259 0.009918993 0.9146812 6 WristLeft
-0.2230993 0.05566511 0.8289211 7 HandLeft
0.1020817 0.07253699 1.290169 8 ShoulderRight
0.1298215 -0.03544762 1.073379 9 ElbowRight
0.1380878 -0.02259378 0.8862047 10 WristRight
0.1159661 0.02272609 0.8372688 11 HandRight
-0.1242479 -0.4153699 1.259077 12 HipLeft
-0.1244741 -0.6845202 1.14694 13 KneeLeft
-0.0005037769 -0.4107388 1.255788 16 HipRight
0.01279559 -0.6526758 1.232352 17 KneeRight
0.03139852 -1.006111 1.244452 18 AnkleRight
-0.03651004 0.1217112 1.359349 20 SpineShoulder
-0.2247355 0.07418679 0.730644 21 HandTipLeft
-0.2397596 0.02411307 0.8228636 22 ThumbLeft
0.109056 0.04718298 0.7363062 23 HandTipRight
0.08444382 0.04830059 0.831625 24 ThumbRight
-0.07314516 -0.4157054 1.293322 0 SpineBase
-0.06118925 -0.1046237 1.349809 1 SpineMid
-0.04937633 0.1937166 1.391456 2 Neck
-0.1690004 0.06582064 1.307175 4 ShoulderLeft
-0.2252469 0.03858775 1.076838 5 ElbowLeft
-0.2155053 0.07041246 0.9045894 6 WristLeft
-0.2127552 0.1139294 0.8526218 7 HandLeft
0.0654523 0.01188486 1.306694 8 ShoulderRight
0.1202815 0.01117914 1.074345 9 ElbowRight
0.1047742 0.04297933 0.9024715 10 WristRight
0.08808634 0.08007056 0.8756007 11 HandRight
-0.1301833 -0.3966008 1.268619 12 HipLeft
-0.1377417 -0.6253151 1.187374 13 KneeLeft
-0.1512021 -0.9388484 1.113309 14 AnkleLeft
-0.01402617 -0.4154524 1.261706 16 HipRight
0.00381182 -0.6519218 1.234161 17 KneeRight
0.02623684 -0.9651769 1.232479 18 AnkleRight
-0.05232906 0.120807 1.383188 20 SpineShoulder
-0.2079935 0.133929 0.760872 21 HandTipLeft
-0.241525 0.1102487 0.7911819 22 ThumbLeft
0.0804529 0.1128256 0.7775455 23 HandTipRight
0.05245311 0.09309955 0.8855715 24 ThumbRight
-0.08611932 -0.4119972 1.304549 0 SpineBase
-0.07163981 -0.1017539 1.36012 1 SpineMid
-0.05739299 0.1963278 1.401262 2 Neck
-0.1720198 0.06614844 1.317294 4 ShoulderLeft
-0.2369685 0.03177938 1.114524 5 ElbowLeft
-0.2160747 0.08864196 0.9344176 6 WristLeft
-0.2141109 0.1364077 0.8726664 7 HandLeft
0.06262149 0.01130891 1.30748 8 ShoulderRight
0.1159853 0.02323526 1.066704 9 ElbowRight
0.07722992 0.07605508 0.8974746 10 WristRight
0.06626518 0.1037707 0.8961262 11 HandRight
-0.1404966 -0.3907681 1.28049 12 HipLeft
-0.1648098 -0.6396021 1.217182 13 KneeLeft
-0.1955877 -0.9322648 1.172154 14 AnkleLeft
-0.02806538 -0.415159 1.272069 16 HipRight
-0.008510728 -0.6507103 1.241769 17 KneeRight
0.01560431 -0.9601645 1.235342 18 AnkleRight
-0.06094142 0.1234146 1.393053 20 SpineShoulder
-0.2049471 0.1593124 0.7829585 21 HandTipLeft
-0.248282 0.1509118 0.8353637 22 ThumbLeft
0.05493938 0.1378875 0.7994056 23 HandTipRight
0.03117612 0.1352715 0.898 24 ThumbRight
-0.09525414 -0.4114257 1.310156 0 SpineBase
-0.08599786 -0.09728552 1.372236 1 SpineMid
-0.07797305 0.2069929 1.42236 2 Neck
-0.1808402 0.06836397 1.338375 4 ShoulderLeft
-0.2391048 0.03465147 1.11324 5 ElbowLeft
-0.2178357 0.09518047 0.940772 6 WristLeft
-0.2158429 0.1429176 0.8815988 7 HandLeft
0.0422478 -0.006892793 1.324723 8 ShoulderRight
0.1046256 0.02373425 1.0929 9 ElbowRight
0.07439238 0.07665583 0.9257949 10 WristRight
0.05597231 0.1095445 0.9063074 11 HandRight
-0.147799 -0.3870807 1.286813 12 HipLeft
-0.1759303 -0.6466185 1.233717 13 KneeLeft
-0.2084941 -0.9284186 1.202132 14 AnkleLeft
-0.03959437 -0.4184939 1.277997 16 HipRight
-0.01687826 -0.6506898 1.24582 17 KneeRight
0.01148343 -0.9613662 1.236479 18 AnkleRight
-0.07990968 0.1323023 1.411662 20 SpineShoulder
-0.203858 0.1651135 0.7903648 21 HandTipLeft
-0.2541561 0.1546642 0.8685555 22 ThumbLeft
0.04150242 0.1455725 0.8148214 23 HandTipRight
0.02003421 0.09431216 0.91975 24 ThumbRight
-0.1299018 -0.4183139 1.336488 0 SpineBase
-0.1174969 -0.0979752 1.39865 1 SpineMid
-0.1055591 0.2091596 1.44645 2 Neck
