X              Y         Z      JointType 
0.05923514 0.1286712 2.172393 0 SpineBase
0.05720369 0.4441491 2.163002 1 SpineMid
0.05491623 0.7466851 2.141701 2 Neck
-0.1184309 0.6259561 2.119237 4 ShoulderLeft
-0.1789828 0.4275217 2.086684 5 ElbowLeft
0.2263423 0.6225978 2.164078 8 ShoulderRight
0.2958703 0.3730647 2.190235 9 ElbowRight
-0.02082604 0.1271592 2.125037 12 HipLeft
-0.1115785 -0.2586423 2.109121 13 KneeLeft
-0.1987236 -0.5610435 2.140902 14 AnkleLeft
-0.2282772 -0.6378922 2.06581 15 FootLeft
0.1372032 0.1257206 2.144394 16 HipRight
0.1159189 -0.2327118 2.189289 17 KneeRight
0.04466537 -0.5662577 2.209447 18 AnkleRight
0.08154637 -0.6416879 2.135014 19 FootRight
0.05553671 0.6728446 2.149153 20 SpineShoulder
0.05932481 0.1287125 2.172281 0 SpineBase
0.05726891 0.4442519 2.162882 1 SpineMid
0.05496025 0.746842 2.141552 2 Neck
-0.1184597 0.6256395 2.118761 4 ShoulderLeft
-0.1800644 0.4282616 2.08594 5 ElbowLeft
0.2263092 0.6228533 2.164291 8 ShoulderRight
0.2954069 0.3714405 2.189167 9 ElbowRight
-0.02073614 0.127077 2.124973 12 HipLeft
-0.1117134 -0.2598374 2.109236 13 KneeLeft
-0.198329 -0.5593683 2.140706 14 AnkleLeft
-0.2285474 -0.6364637 2.06661 15 FootLeft
0.1372743 0.125868 2.144218 16 HipRight
0.115874 -0.2321694 2.189003 17 KneeRight
0.0441612 -0.566081 2.209434 18 AnkleRight
0.08098673 -0.6413035 2.134441 19 FootRight
0.05558585 0.6729881 2.149013 20 SpineShoulder
0.05932481 0.1287125 2.172281 0 SpineBase
0.05726891 0.4442519 2.162882 1 SpineMid
0.05496025 0.746842 2.141552 2 Neck
-0.1184597 0.6256395 2.118761 4 ShoulderLeft
-0.1800644 0.4282616 2.08594 5 ElbowLeft
0.2263092 0.6228533 2.164291 8 ShoulderRight
0.2954069 0.3714405 2.189167 9 ElbowRight
-0.02073614 0.127077 2.124973 12 HipLeft
-0.1117134 -0.2598374 2.109236 13 KneeLeft
-0.198329 -0.5593683 2.140706 14 AnkleLeft
-0.2285474 -0.6364637 2.06661 15 FootLeft
0.1372743 0.125868 2.144218 16 HipRight
0.115874 -0.2321694 2.189003 17 KneeRight
0.0441612 -0.566081 2.209434 18 AnkleRight
0.08098673 -0.6413035 2.134441 19 FootRight
0.05558585 0.6729881 2.149013 20 SpineShoulder
0.05889898 0.127894 2.172278 0 SpineBase
0.05723286 0.4442217 2.162868 1 SpineMid
0.05518126 0.7472229 2.141341 2 Neck
-0.1186191 0.6254753 2.118597 4 ShoulderLeft
-0.1806158 0.429293 2.084787 5 ElbowLeft
0.2264549 0.6228105 2.164308 8 ShoulderRight
0.2946918 0.3660972 2.186988 9 ElbowRight
-0.0211683 0.1261727 2.125019 12 HipLeft
-0.1118418 -0.2602407 2.109243 13 KneeLeft
-0.1983687 -0.5594887 2.140747 14 AnkleLeft
-0.2317107 -0.6291513 2.065577 15 FootLeft
0.1368675 0.1251484 2.144135 16 HipRight
0.1155756 -0.2332408 2.18883 17 KneeRight
0.04329123 -0.5674945 2.209451 18 AnkleRight
0.0789106 -0.638175 2.135658 19 FootRight
0.0557043 0.6732176 2.148869 20 SpineShoulder
0.05889657 0.1278502 2.172148 0 SpineBase
0.05726175 0.4441853 2.162777 1 SpineMid
0.05523576 0.7472055 2.141287 2 Neck
-0.11855 0.6250708 2.118278 4 ShoulderLeft
-0.1808051 0.4293621 2.084655 5 ElbowLeft
0.2264446 0.6227548 2.164212 8 ShoulderRight
0.2939196 0.3635812 2.18593 9 ElbowRight
-0.02117002 0.1260876 2.124857 12 HipLeft
-0.1119319 -0.2609608 2.109477 13 KneeLeft
-0.1982823 -0.5594249 2.140762 14 AnkleLeft
-0.2302181 -0.6262354 2.066876 15 FootLeft
0.136865 0.1251402 2.144015 16 HipRight
0.1155153 -0.2334422 2.18874 17 KneeRight
0.04315438 -0.5676112 2.209588 18 AnkleRight
0.07673165 -0.6355288 2.13667 19 FootRight
0.05575487 0.6731988 2.148807 20 SpineShoulder
0.05884743 0.1278379 2.172102 0 SpineBase
0.05725477 0.444168 2.162734 1 SpineMid
0.05526869 0.7471908 2.141241 2 Neck
-0.118519 0.6250362 2.118254 4 ShoulderLeft
-0.180803 0.4294168 2.084663 5 ElbowLeft
0.2263757 0.6226636 2.164103 8 ShoulderRight
0.293331 0.3626301 2.185022 9 ElbowRight
-0.02120516 0.1260834 2.12485 12 HipLeft
-0.1120657 -0.2614549 2.10945 13 KneeLeft
-0.198304 -0.5594405 2.140772 14 AnkleLeft
-0.2300633 -0.623485 2.067368 15 FootLeft
0.1368015 0.1251166 2.143892 16 HipRight
0.1154971 -0.2334595 2.188704 17 KneeRight
0.04304625 -0.5680821 2.20938 18 AnkleRight
0.0762853 -0.6341125 2.138577 19 FootRight
0.05577851 0.6731859 2.148763 20 SpineShoulder
0.05884743 0.1278379 2.172102 0 SpineBase
0.05725477 0.444168 2.162734 1 SpineMid
0.05526869 0.7471908 2.141241 2 Neck
-0.118519 0.6250362 2.118254 4 ShoulderLeft
-0.180803 0.4294168 2.084663 5 ElbowLeft
0.2263757 0.6226636 2.164103 8 ShoulderRight
0.293331 0.3626301 2.185022 9 ElbowRight
-0.02120516 0.1260834 2.12485 12 HipLeft
-0.1120657 -0.2614549 2.10945 13 KneeLeft
-0.198304 -0.5594405 2.140772 14 AnkleLeft
-0.2300633 -0.623485 2.067368 15 FootLeft
0.1368015 0.1251166 2.143892 16 HipRight
0.1154971 -0.2334595 2.188704 17 KneeRight
0.04304625 -0.5680821 2.20938 18 AnkleRight
0.0762853 -0.6341125 2.138577 19 FootRight
0.05577851 0.6731859 2.148763 20 SpineShoulder
0.05884743 0.1278379 2.172102 0 SpineBase
0.05725477 0.444168 2.162734 1 SpineMid
0.05526869 0.7471908 2.141241 2 Neck
-0.118519 0.6250362 2.118254 4 ShoulderLeft
-0.180803 0.4294168 2.084663 5 ElbowLeft
0.2263757 0.6226636 2.164103 8 ShoulderRight
0.293331 0.3626301 2.185022 9 ElbowRight
-0.02120516 0.1260834 2.12485 12 HipLeft
-0.1120657 -0.2614549 2.10945 13 KneeLeft
-0.198304 -0.5594405 2.140772 14 AnkleLeft
-0.2300633 -0.623485 2.067368 15 FootLeft
0.1368015 0.1251166 2.143892 16 HipRight
0.1154971 -0.2334595 2.188704 17 KneeRight
0.04304625 -0.5680821 2.20938 18 AnkleRight
0.0762853 -0.6341125 2.138577 19 FootRight
0.05577851 0.6731859 2.148763 20 SpineShoulder
0.05884743 0.1278379 2.172102 0 SpineBase
0.05725477 0.444168 2.162734 1 SpineMid
0.05526869 0.7471908 2.141241 2 Neck
-0.118519 0.6250362 2.118254 4 ShoulderLeft
-0.180803 0.4294168 2.084663 5 ElbowLeft
0.2263757 0.6226636 2.164103 8 ShoulderRight
0.293331 0.3626301 2.185022 9 ElbowRight
-0.02120516 0.1260834 2.12485 12 HipLeft
-0.1120657 -0.2614549 2.10945 13 KneeLeft
-0.198304 -0.5594405 2.140772 14 AnkleLeft
-0.2300633 -0.623485 2.067368 15 FootLeft
0.1368015 0.1251166 2.143892 16 HipRight
0.1154971 -0.2334595 2.188704 17 KneeRight
0.04304625 -0.5680821 2.20938 18 AnkleRight
0.0762853 -0.6341125 2.138577 19 FootRight
0.05577851 0.6731859 2.148763 20 SpineShoulder
0.05884743 0.1278379 2.172102 0 SpineBase
0.05725477 0.444168 2.162734 1 SpineMid
0.05526869 0.7471908 2.141241 2 Neck
-0.118519 0.6250362 2.118254 4 ShoulderLeft
-0.180803 0.4294168 2.084663 5 ElbowLeft
0.2263757 0.6226636 2.164103 8 ShoulderRight
0.293331 0.3626301 2.185022 9 ElbowRight
-0.02120516 0.1260834 2.12485 12 HipLeft
-0.1120657 -0.2614549 2.10945 13 KneeLeft
-0.198304 -0.5594405 2.140772 14 AnkleLeft
-0.2300633 -0.623485 2.067368 15 FootLeft
0.1368015 0.1251166 2.143892 16 HipRight
0.1154971 -0.2334595 2.188704 17 KneeRight
0.04304625 -0.5680821 2.20938 18 AnkleRight
0.0762853 -0.6341125 2.138577 19 FootRight
