X              Y         Z      JointType 
0.02477691 -0.4432042 1.332007 0 SpineBase
0.03340632 -0.1542926 1.374637 1 SpineMid
0.04120956 0.1234783 1.401885 2 Neck
-0.1150935 0.02425201 1.369047 4 ShoulderLeft
-0.1704942 -0.2049632 1.284026 5 ElbowLeft
0.195521 -0.005713425 1.411834 8 ShoulderRight
0.2857831 -0.2116415 1.354022 9 ElbowRight
0.2477541 -0.08872104 1.208983 10 WristRight
0.2252664 -0.03656289 1.149589 11 HandRight
-0.04771825 -0.4258565 1.293986 12 HipLeft
-0.1028897 -0.7870234 1.153751 13 KneeLeft
0.09601931 -0.4394334 1.306552 16 HipRight
0.09130578 -0.8150455 1.295424 17 KneeRight
0.03936114 0.05555346 1.397412 20 SpineShoulder
0.2004041 -0.001784078 1.090877 23 HandTipRight
0.1858414 -0.02035975 1.171667 24 ThumbRight
0.0253142 -0.4432887 1.33557 0 SpineBase
0.03599356 -0.1544097 1.378994 1 SpineMid
0.04666272 0.1232696 1.407189 2 Neck
-0.1145465 0.02389769 1.370333 4 ShoulderLeft
-0.1674506 -0.2071203 1.291031 5 ElbowLeft
0.1958577 -0.005855421 1.411972 8 ShoulderRight
0.2813395 -0.1531508 1.337366 9 ElbowRight
0.2370504 -0.005809754 1.202961 10 WristRight
0.2347315 0.01916519 1.181809 11 HandRight
-0.04715974 -0.4259869 1.29855 12 HipLeft
-0.09809284 -0.7860659 1.154149 13 KneeLeft
0.09648582 -0.4394785 1.308992 16 HipRight
0.09265899 -0.8145778 1.297484 17 KneeRight
0.04402079 0.0553694 1.40248 20 SpineShoulder
0.2058726 0.0647439 1.131474 23 HandTipRight
0.1930861 0.03516567 1.19675 24 ThumbRight
0.0266466 -0.4402951 1.34354 0 SpineBase
0.04007749 -0.1533515 1.387527 1 SpineMid
0.05323781 0.1222047 1.416225 2 Neck
-0.1055704 0.02198525 1.387237 4 ShoulderLeft
-0.1627371 -0.2073387 1.305136 5 ElbowLeft
0.2049316 0.0006890626 1.42005 8 ShoulderRight
0.3084904 -0.1308818 1.32235 9 ElbowRight
0.2524319 0.05789575 1.254862 10 WristRight
0.2247157 0.1279127 1.235867 11 HandRight
-0.04599294 -0.4246907 1.307447 12 HipLeft
-0.08608885 -0.784122 1.157855 13 KneeLeft
0.09794179 -0.4349827 1.316013 16 HipRight
0.09458996 -0.8101735 1.298876 17 KneeRight
0.05002083 0.05484166 1.411403 20 SpineShoulder
0.1898126 0.1762222 1.221285 23 HandTipRight
0.2005327 0.119185 1.239882 24 ThumbRight
0.02772978 -0.4424921 1.348806 0 SpineBase
0.04271751 -0.1554581 1.394088 1 SpineMid
0.05716259 0.1204209 1.423847 2 Neck
-0.09096809 0.01693148 1.394258 4 ShoulderLeft
-0.16085 -0.2110242 1.317718 5 ElbowLeft
0.2088558 0.004322428 1.423541 8 ShoulderRight
0.32812 -0.05659036 1.288291 9 ElbowRight
0.2431552 0.1041826 1.266422 10 WristRight
0.235668 0.1371854 1.289496 11 HandRight
-0.04474044 -0.429395 1.314638 12 HipLeft
-0.04391647 -0.7938017 1.187813 13 KneeLeft
0.09882221 -0.4353165 1.319561 16 HipRight
0.09659144 -0.8076638 1.301439 17 KneeRight
0.05366283 0.05294805 1.418776 20 SpineShoulder
0.1889495 0.1938995 1.276721 23 HandTipRight
0.2321427 0.1113053 1.31425 24 ThumbRight
0.02830133 -0.4447463 1.354671 0 SpineBase
0.04414008 -0.1569938 1.400253 1 SpineMid
0.05917795 0.1195387 1.430262 2 Neck
-0.08669382 0.01570447 1.39963 4 ShoulderLeft
-0.1617166 -0.2111386 1.329263 5 ElbowLeft
-0.1661783 -0.4161612 1.232111 6 WristLeft
-0.1741293 -0.4692665 1.218783 7 HandLeft
0.2096783 0.0156912 1.428917 8 ShoulderRight
0.3262408 -0.02592364 1.284431 9 ElbowRight
0.2359792 0.1265456 1.312168 10 WristRight
0.2016156 0.1834656 1.323359 11 HandRight
-0.04335219 -0.4327007 1.323747 12 HipLeft
-0.03183377 -0.7936381 1.196298 13 KneeLeft
0.09888544 -0.4362527 1.322596 16 HipRight
0.09766676 -0.8056461 1.3033 17 KneeRight
0.05554675 0.05189448 1.425124 20 SpineShoulder
-0.1640316 -0.5277959 1.20029 21 HandTipLeft
-0.1439952 -0.451622 1.227296 22 ThumbLeft
0.1572262 0.2439609 1.326303 23 HandTipRight
0.20135 0.1527391 1.3646 24 ThumbRight
0.02830365 -0.4440616 1.357332 0 SpineBase
0.0442184 -0.1565033 1.402769 1 SpineMid
0.05925183 0.1198689 1.43256 2 Neck
-0.08642825 0.01452915 1.401789 4 ShoulderLeft
-0.163773 -0.2123361 1.335506 5 ElbowLeft
-0.1713771 -0.4175781 1.239793 6 WristLeft
-0.1804113 -0.4722694 1.22621 7 HandLeft
0.2083734 0.02269876 1.430596 8 ShoulderRight
0.3239598 -0.02155964 1.286183 9 ElbowRight
0.224417 0.1448972 1.328886 10 WristRight
0.1778547 0.2057221 1.335874 11 HandRight
-0.04287148 -0.4316416 1.327318 12 HipLeft
-0.03100836 -0.792307 1.200638 13 KneeLeft
0.09852225 -0.4358573 1.324182 16 HipRight
0.09853679 -0.8048408 1.304213 17 KneeRight
0.0556294 0.05226178 1.427483 20 SpineShoulder
-0.1716215 -0.5308799 1.206368 21 HandTipLeft
-0.1475219 -0.4645382 1.23555 22 ThumbLeft
0.137075 0.2680479 1.353153 23 HandTipRight
0.1774524 0.174335 1.3542 24 ThumbRight
0.02452783 -0.441449 1.364387 0 SpineBase
0.04130953 -0.1537694 1.409278 1 SpineMid
0.05702248 0.1227499 1.438562 2 Neck
-0.09508158 0.01753614 1.415601 4 ShoulderLeft
-0.1682842 -0.2110336 1.349585 5 ElbowLeft
-0.1864277 -0.4181747 1.254418 6 WristLeft
-0.1946221 -0.4692766 1.23861 7 HandLeft
0.2035369 0.02945688 1.43386 8 ShoulderRight
0.3182521 -0.01801589 1.289434 9 ElbowRight
0.1814981 0.1787289 1.329717 10 WristRight
0.1343358 0.2311224 1.352064 11 HandRight
-0.04598232 -0.4281243 1.335497 12 HipLeft
-0.04182711 -0.7894818 1.208125 13 KneeLeft
0.09416991 -0.4341373 1.329719 16 HipRight
0.0984069 -0.8040383 1.30406 17 KneeRight
0.05324661 0.05510568 1.433607 20 SpineShoulder
-0.1887922 -0.5280799 1.215732 21 HandTipLeft
-0.1523987 -0.4844972 1.226611 22 ThumbLeft
0.02162894 -0.4405787 1.36805 0 SpineBase
0.03853659 -0.1523393 1.41325 1 SpineMid
0.05436469 0.1247874 1.44287 2 Neck
-0.1011152 0.0194479 1.422023 4 ShoulderLeft
-0.1709878 -0.2099944 1.355066 5 ElbowLeft
-0.1928292 -0.4165876 1.260288 6 WristLeft
-0.2005562 -0.466096 1.243927 7 HandLeft
0.1983901 0.03157905 1.435712 8 ShoulderRight
0.3107282 -0.01814317 1.289962 9 ElbowRight
0.1702786 0.173876 1.337698 10 WristRight
0.1167654 0.2300325 1.359498 11 HandRight
-0.04839071 -0.4270635 1.339187 12 HipLeft
-0.04441952 -0.789831 1.216093 13 KneeLeft
0.09083471 -0.4335217 1.333144 16 HipRight
0.09727103 -0.8039376 1.304785 17 KneeRight
0.05056012 0.05698746 1.437829 20 SpineShoulder
-0.1962406 -0.5262172 1.218448 21 HandTipLeft
-0.1560772 -0.4891813 1.241429 22 ThumbLeft
0.01733701 -0.4411137 1.371458 0 SpineBase
0.03353858 -0.1517556 1.417411 1 SpineMid
0.04852758 0.126677 1.447906 2 Neck
-0.1056627 0.02047473 1.426142 4 ShoulderLeft
-0.1744943 -0.2093634 1.358829 5 ElbowLeft
-0.1975939 -0.4151609 1.263409 6 WristLeft
-0.2050219 -0.4641157 1.245342 7 HandLeft
0.1886955 0.03087926 1.435639 8 ShoulderRight
0.302559 -0.01832973 1.290753 9 ElbowRight
0.1845548 0.1114689 1.327669 10 WristRight
0.1343906 0.1808441 1.354896 11 HandRight
-0.05249193 -0.4276495 1.343559 12 HipLeft
-0.0592383 -0.7901894 1.22003 13 KneeLeft
0.08644807 -0.4340082 1.335583 16 HipRight
0.09699395 -0.8043327 1.305393 17 KneeRight
0.04494005 0.05853232 1.442635 20 SpineShoulder
-0.2016786 -0.5209205 1.215933 21 HandTipLeft
-0.1608255 -0.4785663 1.245273 22 ThumbLeft
0.09559795 0.2310367 1.353243 23 HandTipRight
0.1319247 0.152989 1.372182 24 ThumbRight
0.003576819 -0.4449792 1.38089 0 SpineBase
0.01950937 -0.153311 1.429084 1 SpineMid
0.03442327 0.127337 1.461803 2 Neck
-0.1174466 0.02110888 1.438424 4 ShoulderLeft
-0.1829447 -0.208997 1.367638 5 ElbowLeft
-0.2062402 -0.41267 1.267667 6 WristLeft
-0.2149164 -0.4627817 1.24301 7 HandLeft
0.1697154 0.02412044 1.438964 8 ShoulderRight
