X              Y         Z      JointType 
-0.2692297 -0.09270338 1.709984 0 SpineBase
-0.2180701 0.2008563 1.663251 1 SpineMid
-0.1668596 0.4820106 1.603671 2 Neck
-0.3262489 0.4210068 1.697097 4 ShoulderLeft
-0.3287069 0.1223922 1.574202 5 ElbowLeft
-0.4161274 -0.07986357 1.669422 6 WristLeft
-0.4323295 -0.09962343 1.653676 7 HandLeft
-0.04923255 0.3239697 1.540118 8 ShoulderRight
-0.03256164 0.05379071 1.51151 9 ElbowRight
-0.3272235 -0.06817239 1.700071 12 HipLeft
-0.3357435 -0.3555726 1.754579 13 KneeLeft
-0.2323047 -0.7468588 1.706457 14 AnkleLeft
-0.2980465 -0.8536119 1.646906 15 FootLeft
-0.2002752 -0.1135499 1.651041 16 HipRight
-0.1952912 -0.4172232 1.628555 17 KneeRight
-0.1937114 -0.8185844 1.665103 18 AnkleRight
-0.2472328 -0.8661021 1.544721 19 FootRight
-0.1797058 0.4135158 1.620666 20 SpineShoulder
-0.426839 -0.1228803 1.632803 21 HandTipLeft
-0.4165294 -0.1110507 1.60575 22 ThumbLeft
-0.2621073 -0.08131344 1.694934 0 SpineBase
-0.2154389 0.2023445 1.658688 1 SpineMid
-0.1659189 0.4796724 1.603634 2 Neck
-0.3331541 0.4182797 1.701283 4 ShoulderLeft
-0.3070883 0.1140717 1.562645 5 ElbowLeft
-0.4161932 -0.07450205 1.664354 6 WristLeft
-0.3957861 -0.08151553 1.630814 7 HandLeft
-0.04716412 0.3170276 1.544898 8 ShoulderRight
-0.02590801 0.04819492 1.530807 9 ElbowRight
-0.3209746 -0.05641539 1.685425 12 HipLeft
-0.343328 -0.4083901 1.752674 13 KneeLeft
-0.2010115 -0.7473249 1.623019 14 AnkleLeft
-0.1925947 -0.1029965 1.636482 16 HipRight
-0.2235358 -0.4512467 1.613614 17 KneeRight
-0.1959278 -0.8456458 1.669232 18 AnkleRight
-0.2470303 -0.9033168 1.545652 19 FootRight
-0.1787281 0.4122245 1.619659 20 SpineShoulder
-0.3959219 -0.1316147 1.611164 21 HandTipLeft
-0.360718 -0.1048899 1.589838 22 ThumbLeft
-0.25683 -0.08403066 1.696087 0 SpineBase
-0.2107232 0.1965181 1.658328 1 SpineMid
-0.1625301 0.4647267 1.605942 2 Neck
-0.3401274 0.4046729 1.702136 4 ShoulderLeft
-0.444605 0.1771341 1.756094 5 ElbowLeft
-0.4307369 -0.03369585 1.649508 6 WristLeft
-0.397777 -0.08316458 1.631771 7 HandLeft
-0.03938185 0.3017075 1.559442 8 ShoulderRight
-0.01954144 0.03154369 1.561262 9 ElbowRight
-0.08274125 -0.1915801 1.555955 10 WristRight
-0.1116317 -0.2473311 1.571624 11 HandRight
-0.3179096 -0.05854311 1.685568 12 HipLeft
-0.3520335 -0.3903274 1.760452 13 KneeLeft
-0.2084513 -0.8480155 1.690882 14 AnkleLeft
-0.2304415 -0.9309772 1.661462 15 FootLeft
-0.184913 -0.1063386 1.639874 16 HipRight
-0.2275265 -0.4510161 1.612552 17 KneeRight
-0.1970141 -0.8464156 1.668883 18 AnkleRight
-0.2196092 -0.9208061 1.623409 19 FootRight
-0.1746264 0.3996312 1.621083 20 SpineShoulder
-0.3758399 -0.1406986 1.607238 21 HandTipLeft
-0.3646296 -0.05840361 1.611944 22 ThumbLeft
-0.1374406 -0.3188487 1.573856 23 HandTipRight
-0.1390193 -0.2338746 1.561546 24 ThumbRight
-0.2474297 -0.08912878 1.706843 0 SpineBase
-0.2052872 0.1887266 1.662918 1 SpineMid
-0.1606672 0.454164 1.607458 2 Neck
-0.3410195 0.401533 1.702061 4 ShoulderLeft
-0.4438038 0.1739974 1.750991 5 ElbowLeft
-0.4233936 -0.02930691 1.636299 6 WristLeft
-0.4074214 -0.06569752 1.630315 7 HandLeft
-0.03455103 0.2938734 1.566261 8 ShoulderRight
-0.01655455 0.02438765 1.574349 9 ElbowRight
-0.07084685 -0.1979545 1.57579 10 WristRight
-0.1023349 -0.2478394 1.589575 11 HandRight
-0.3111384 -0.06225584 1.693505 12 HipLeft
-0.3549851 -0.3744063 1.775309 13 KneeLeft
-0.2103803 -0.8437352 1.694839 14 AnkleLeft
-0.2315494 -0.9309618 1.663206 15 FootLeft
-0.1736216 -0.1129068 1.653942 16 HipRight
-0.2308496 -0.4509826 1.619772 17 KneeRight
-0.1986093 -0.8467194 1.66894 18 AnkleRight
-0.2226061 -0.9207366 1.6224 19 FootRight
-0.1719109 0.3896784 1.623332 20 SpineShoulder
-0.3866415 -0.1434711 1.622399 21 HandTipLeft
-0.3704503 -0.03406753 1.607013 22 ThumbLeft
-0.1251139 -0.3148508 1.58552 23 HandTipRight
-0.120951 -0.2616579 1.557692 24 ThumbRight
-0.2401168 -0.09387874 1.71804 0 SpineBase
-0.2003111 0.1819824 1.669262 1 SpineMid
-0.1588652 0.446795 1.60987 2 Neck
-0.3437868 0.3945211 1.701371 4 ShoulderLeft
-0.4448147 0.1690561 1.739994 5 ElbowLeft
-0.4206583 -0.02796934 1.620463 6 WristLeft
-0.4175877 -0.0533683 1.607312 7 HandLeft
-0.02739569 0.287258 1.57784 8 ShoulderRight
-0.0131702 0.02158836 1.590298 9 ElbowRight
-0.06422467 -0.1983788 1.594922 10 WristRight
-0.09657241 -0.2440777 1.605706 11 HandRight
-0.3063528 -0.0763936 1.705335 12 HipLeft
-0.3492575 -0.3826636 1.769078 13 KneeLeft
-0.2338751 -0.930163 1.66346 15 FootLeft
-0.1635831 -0.1090745 1.667206 16 HipRight
-0.2293541 -0.4500891 1.622443 17 KneeRight
-0.1989951 -0.8457077 1.669408 18 AnkleRight
-0.2223943 -0.9205098 1.622377 19 FootRight
-0.16938 0.38232 1.626615 20 SpineShoulder
-0.4123088 -0.09495585 1.602361 21 HandTipLeft
-0.4156088 -0.1023551 1.623333 22 ThumbLeft
-0.1129861 -0.3100941 1.596573 23 HandTipRight
-0.1202238 -0.2904906 1.571714 24 ThumbRight
-0.2393934 -0.094115 1.720454 0 SpineBase
-0.1995635 0.1810608 1.670602 1 SpineMid
-0.1582919 0.4453487 1.610267 2 Neck
-0.3440736 0.3935288 1.701248 4 ShoulderLeft
-0.4451922 0.1694179 1.73813 5 ElbowLeft
-0.4221514 -0.02564284 1.616591 6 WristLeft
-0.4213916 -0.05191925 1.600249 7 HandLeft
-0.02605449 0.2863787 1.579914 8 ShoulderRight
-0.0127467 0.02188297 1.593003 9 ElbowRight
-0.06320217 -0.1973506 1.598301 10 WristRight
-0.09545508 -0.2441188 1.608807 11 HandRight
-0.3062004 -0.07797357 1.707518 12 HipLeft
-0.3481586 -0.3836815 1.767917 13 KneeLeft
-0.2350648 -0.9298585 1.663555 15 FootLeft
-0.1625154 -0.1076298 1.669467 16 HipRight
-0.2278751 -0.4480459 1.621977 17 KneeRight
-0.1985507 -0.8451967 1.669737 18 AnkleRight
-0.2216992 -0.9210679 1.623475 19 FootRight
-0.1687635 0.3809938 1.627239 20 SpineShoulder
-0.4184712 -0.09394167 1.594451 21 HandTipLeft
-0.4553706 -0.05931799 1.60216 22 ThumbLeft
-0.1125591 -0.3106025 1.598483 23 HandTipRight
-0.1185884 -0.2816638 1.571531 24 ThumbRight
-0.2373618 -0.09451761 1.723257 0 SpineBase
-0.1981626 0.1798359 1.671901 1 SpineMid
-0.1575712 0.4434795 1.610211 2 Neck
-0.3442705 0.39196 1.700134 4 ShoulderLeft
-0.4438564 0.1684988 1.731091 5 ElbowLeft
-0.4291528 -0.02320972 1.605431 6 WristLeft
-0.4331062 -0.04826535 1.589023 7 HandLeft
-0.02499224 0.2855559 1.580569 8 ShoulderRight
-0.01209538 0.02146121 1.595961 9 ElbowRight
-0.06074039 -0.1967411 1.601697 10 WristRight
-0.09270997 -0.2434885 1.610936 11 HandRight
-0.3050451 -0.0797678 1.709434 12 HipLeft
-0.3522427 -0.37589 1.783469 13 KneeLeft
-0.1964307 -0.8578642 1.709858 14 AnkleLeft
-0.2372552 -0.9289934 1.663581 15 FootLeft
-0.159812 -0.1059619 1.672704 16 HipRight
-0.2240884 -0.4418994 1.616465 17 KneeRight
-0.1899721 -0.8309202 1.663623 18 AnkleRight
-0.16789 0.379287 1.627513 20 SpineShoulder
-0.4415261 -0.09521515 1.582404 21 HandTipLeft
-0.4653901 -0.04116117 1.577273 22 ThumbLeft
-0.1095362 -0.3133923 1.603788 23 HandTipRight
-0.1011699 -0.2510503 1.575111 24 ThumbRight
-0.2357669 -0.09498937 1.722275 0 SpineBase
-0.1965523 0.1791638 1.670951 1 SpineMid
-0.1561781 0.4425317 1.608786 2 Neck
-0.3437929 0.3899334 1.698483 4 ShoulderLeft
-0.4413392 0.1666097 1.724452 5 ElbowLeft
-0.433313 -0.02555779 1.601262 6 WristLeft
-0.4461109 -0.03745741 1.594527 7 HandLeft
-0.02378553 0.2855152 1.57975 8 ShoulderRight
-0.010444 0.02214909 1.59556 9 ElbowRight
