X              Y         Z      JointType 
-0.1659612 -0.1926294 2.022144 0 SpineBase
-0.1652729 0.1362154 2.005637 1 SpineMid
-0.1631098 0.4531558 1.974954 2 Neck
-0.3126931 0.3188767 1.939805 4 ShoulderLeft
-0.371647 0.08615366 1.936692 5 ElbowLeft
-0.3674586 -0.1160959 1.869945 6 WristLeft
-0.3484247 -0.1567875 1.88955 7 HandLeft
0.006490012 0.3489396 2.032139 8 ShoulderRight
0.03919197 0.1190603 2.034101 9 ElbowRight
0.02968836 -0.07933228 1.947019 10 WristRight
-0.009138057 -0.1515121 1.930323 11 HandRight
-0.2312281 -0.1842666 1.968235 12 HipLeft
-0.2337464 -0.6872548 2.017279 13 KneeLeft
-0.2420133 -0.9836119 1.948823 14 AnkleLeft
-0.1935803 -0.9720145 1.790458 15 FootLeft
-0.09482162 -0.1938528 2.002922 16 HipRight
-0.1262452 -0.7153531 2.023233 17 KneeRight
-0.1068752 -1.001204 1.954061 18 AnkleRight
-0.06717969 -0.9905992 1.793579 19 FootRight
-0.1638751 0.3755771 1.984949 20 SpineShoulder
-0.3568286 -0.2325825 1.87639 21 HandTipLeft
-0.3664099 -0.140682 1.824164 22 ThumbLeft
-0.03193588 -0.2356616 1.921362 23 HandTipRight
-0.05336192 -0.1526936 1.883955 24 ThumbRight
-0.1659568 -0.1926747 2.02217 0 SpineBase
-0.1656161 0.1359921 2.006242 1 SpineMid
-0.1645057 0.4525825 1.977133 2 Neck
-0.3125072 0.3186605 1.939336 4 ShoulderLeft
-0.3716607 0.0862119 1.936476 5 ElbowLeft
-0.3675385 -0.1161079 1.869977 6 WristLeft
-0.348586 -0.1563624 1.889537 7 HandLeft
0.006629629 0.3509366 2.031422 8 ShoulderRight
0.0392412 0.119772 2.034049 9 ElbowRight
0.02880209 -0.08234818 1.945903 10 WristRight
-0.009337493 -0.1500414 1.928937 11 HandRight
-0.2311722 -0.1843549 1.968344 12 HipLeft
-0.2355609 -0.686312 2.017828 13 KneeLeft
-0.2415784 -0.9833331 1.948864 14 AnkleLeft
-0.2010121 -0.9734074 1.788087 15 FootLeft
-0.09482179 -0.1938809 2.002891 16 HipRight
-0.127015 -0.7124125 2.023293 17 KneeRight
-0.1067576 -1.000609 1.954131 18 AnkleRight
-0.06502035 -0.9906563 1.794313 19 FootRight
-0.1649453 0.3751006 1.98665 20 SpineShoulder
-0.3580773 -0.2297453 1.871919 21 HandTipLeft
-0.363693 -0.1382362 1.824085 22 ThumbLeft
-0.03207805 -0.2367144 1.923424 23 HandTipRight
-0.05445655 -0.1193652 1.884604 24 ThumbRight
-0.1659275 -0.1925027 2.022266 0 SpineBase
-0.1653913 0.1361475 2.005987 1 SpineMid
-0.1636824 0.4529692 1.976012 2 Neck
-0.3124786 0.3186264 1.939514 4 ShoulderLeft
-0.3716739 0.08622552 1.936237 5 ElbowLeft
-0.3673915 -0.1161415 1.869914 6 WristLeft
-0.3486969 -0.1565471 1.890906 7 HandLeft
0.004228554 0.3520061 2.034663 8 ShoulderRight
0.03930254 0.120377 2.03433 9 ElbowRight
0.02832997 -0.08436207 1.945399 10 WristRight
-0.00898884 -0.1492247 1.930523 11 HandRight
-0.2309613 -0.1842785 1.968263 12 HipLeft
-0.2350616 -0.6887032 2.018269 13 KneeLeft
-0.2417561 -0.9839525 1.94868 14 AnkleLeft
-0.1945696 -0.9733527 1.789972 15 FootLeft
-0.09492905 -0.1936475 2.00314 16 HipRight
-0.1229362 -0.7126319 2.024932 17 KneeRight
-0.1058718 -1.000783 1.953758 18 AnkleRight
-0.06564951 -0.9909449 1.793516 19 FootRight
-0.1643269 0.3754077 1.985816 20 SpineShoulder
-0.3580315 -0.229991 1.872907 21 HandTipLeft
-0.3638234 -0.1450666 1.825576 22 ThumbLeft
-0.02960631 -0.2361802 1.926363 23 HandTipRight
-0.05355137 -0.1440253 1.883893 24 ThumbRight
-0.1660632 -0.192549 2.02224 0 SpineBase
-0.1654027 0.1361382 2.005947 1 SpineMid
-0.1635852 0.4529784 1.975886 2 Neck
-0.3124757 0.3185806 1.939404 4 ShoulderLeft
-0.3716671 0.08628272 1.93617 5 ElbowLeft
-0.367334 -0.1161009 1.869908 6 WristLeft
-0.3479135 -0.156086 1.888873 7 HandLeft
0.005386686 0.3516246 2.033348 8 ShoulderRight
0.03934009 0.1202971 2.034264 9 ElbowRight
0.02858687 -0.08322816 1.945585 10 WristRight
-0.008973986 -0.1498106 1.929448 11 HandRight
-0.2311141 -0.1842682 1.968196 12 HipLeft
-0.2360115 -0.6861334 2.017682 13 KneeLeft
-0.2415846 -0.9832603 1.948337 14 AnkleLeft
-0.1944746 -0.9731149 1.789624 15 FootLeft
-0.09507363 -0.1937701 2.00315 16 HipRight
-0.123719 -0.7120707 2.024604 17 KneeRight
-0.105924 -1.000838 1.953759 18 AnkleRight
-0.06537177 -0.9909705 1.793619 19 FootRight
-0.1642683 0.3754107 1.985718 20 SpineShoulder
-0.3544254 -0.2329243 1.876633 21 HandTipLeft
-0.3654202 -0.1372571 1.824159 22 ThumbLeft
-0.03110461 -0.2355763 1.922978 23 HandTipRight
-0.05356807 -0.1445605 1.88359 24 ThumbRight
-0.1661368 -0.1925987 2.022283 0 SpineBase
-0.1653957 0.1361252 2.00592 1 SpineMid
-0.1634201 0.4529811 1.975653 2 Neck
-0.3125198 0.3186447 1.939487 4 ShoulderLeft
-0.3716651 0.08627737 1.936175 5 ElbowLeft
-0.3673497 -0.1160936 1.869867 6 WristLeft
-0.3480852 -0.1563377 1.888506 7 HandLeft
0.006035312 0.3515701 2.032631 8 ShoulderRight
0.03933039 0.1203214 2.034255 9 ElbowRight
0.02840281 -0.08382171 1.945244 10 WristRight
-0.009147766 -0.1492134 1.928072 11 HandRight
-0.2312276 -0.1843178 1.968308 12 HipLeft
-0.2362382 -0.6848134 2.017197 13 KneeLeft
-0.2416102 -0.9836736 1.948292 14 AnkleLeft
-0.1943461 -0.9729578 1.789614 15 FootLeft
-0.09512369 -0.1938261 2.003151 16 HipRight
-0.123731 -0.71212 2.024602 17 KneeRight
-0.1058966 -1.00077 1.953578 18 AnkleRight
-0.06535345 -0.990944 1.793442 19 FootRight
-0.1641579 0.3754054 1.985554 20 SpineShoulder
-0.3576357 -0.2300411 1.871029 21 HandTipLeft
-0.3668003 -0.1241906 1.823024 22 ThumbLeft
-0.0306354 -0.2366166 1.924162 23 HandTipRight
-0.05381804 -0.1557557 1.881059 24 ThumbRight
-0.1661368 -0.1925987 2.022283 0 SpineBase
-0.1653957 0.1361252 2.00592 1 SpineMid
-0.1634201 0.4529811 1.975653 2 Neck
-0.3125198 0.3186447 1.939487 4 ShoulderLeft
-0.3716651 0.08627737 1.936175 5 ElbowLeft
-0.3673497 -0.1160936 1.869867 6 WristLeft
-0.3480852 -0.1563377 1.888506 7 HandLeft
0.006035312 0.3515701 2.032631 8 ShoulderRight
0.03933039 0.1203214 2.034255 9 ElbowRight
0.02840281 -0.08382171 1.945244 10 WristRight
-0.009147766 -0.1492134 1.928072 11 HandRight
-0.2312276 -0.1843178 1.968308 12 HipLeft
-0.2362382 -0.6848134 2.017197 13 KneeLeft
-0.2416102 -0.9836736 1.948292 14 AnkleLeft
-0.1943461 -0.9729578 1.789614 15 FootLeft
-0.09512369 -0.1938261 2.003151 16 HipRight
-0.123731 -0.71212 2.024602 17 KneeRight
-0.1058966 -1.00077 1.953578 18 AnkleRight
-0.06535345 -0.990944 1.793442 19 FootRight
-0.1641579 0.3754054 1.985554 20 SpineShoulder
-0.3576357 -0.2300411 1.871029 21 HandTipLeft
-0.3668003 -0.1241906 1.823024 22 ThumbLeft
-0.0306354 -0.2366166 1.924162 23 HandTipRight
-0.05381804 -0.1557557 1.881059 24 ThumbRight
-0.1661196 -0.1925822 2.022282 0 SpineBase
-0.1653771 0.1361366 2.0059 1 SpineMid
-0.1634001 0.4529857 1.975609 2 Neck
