X              Y         Z      JointType 
-0.1038848 -0.1976035 1.959669 0 SpineBase
-0.1054084 0.1312961 1.906073 1 SpineMid
-0.1059693 0.4476081 1.837895 2 Neck
-0.2451364 0.3198854 1.836258 4 ShoulderLeft
-0.3357551 0.07578152 1.863092 5 ElbowLeft
-0.3993479 -0.1248052 1.823333 6 WristLeft
-0.4058499 -0.1466012 1.822044 7 HandLeft
0.06239041 0.3249461 1.845472 8 ShoulderRight
0.1279358 0.09274412 1.862606 9 ElbowRight
-0.1723436 -0.1948774 1.921189 12 HipLeft
-0.1933174 -0.4072215 1.886792 13 KneeLeft
-0.1966606 -0.8033594 1.892589 14 AnkleLeft
-0.2021838 -0.8760069 1.76554 15 FootLeft
-0.03135229 -0.1926061 1.921554 16 HipRight
-0.01616895 -0.4831857 1.866877 17 KneeRight
-0.04037132 -0.8743171 1.907197 18 AnkleRight
0.03581349 -0.9006748 1.779159 19 FootRight
-0.1059842 0.37036 1.857339 20 SpineShoulder
-0.4149857 -0.2084766 1.817569 21 HandTipLeft
-0.4180482 -0.1548471 1.781278 22 ThumbLeft
-0.109022 -0.1564411 1.909343 0 SpineBase
-0.1130551 0.1479812 1.889871 1 SpineMid
-0.1152016 0.4504142 1.843273 2 Neck
-0.2476205 0.3233744 1.836506 4 ShoulderLeft
-0.3434705 0.1135425 1.866266 5 ElbowLeft
-0.4055978 -0.09122591 1.827966 6 WristLeft
-0.4255051 -0.1249512 1.824713 7 HandLeft
0.03936283 0.3360303 1.834082 8 ShoulderRight
0.1257796 0.09429456 1.862296 9 ElbowRight
-0.1791654 -0.1480845 1.867699 12 HipLeft
-0.1732674 -0.5348386 1.90579 13 KneeLeft
-0.1850425 -0.8609789 1.878773 14 AnkleLeft
-0.1900026 -0.917504 1.742129 15 FootLeft
-0.03551183 -0.1561541 1.874668 16 HipRight
-0.02090214 -0.5497872 1.867445 17 KneeRight
0.004844691 -0.9545283 1.876262 18 AnkleRight
0.0190152 -0.9598715 1.720232 19 FootRight
-0.1135073 0.3750887 1.857746 20 SpineShoulder
-0.4382209 -0.2000712 1.841234 21 HandTipLeft
-0.4540155 -0.1180571 1.82625 22 ThumbLeft
-0.1087126 -0.1561018 1.907757 0 SpineBase
-0.1119899 0.1494408 1.887674 1 SpineMid
-0.1141092 0.4506143 1.843603 2 Neck
-0.2474135 0.3235277 1.836694 4 ShoulderLeft
-0.3419127 0.1106357 1.866115 5 ElbowLeft
-0.4120066 -0.08817517 1.821237 6 WristLeft
-0.4294382 -0.1241137 1.802765 7 HandLeft
0.03924055 0.3359762 1.833566 8 ShoulderRight
0.1251491 0.09748654 1.862283 9 ElbowRight
-0.1783406 -0.148878 1.866736 12 HipLeft
-0.176709 -0.5747339 1.911116 13 KneeLeft
-0.1831257 -0.952437 1.902435 14 AnkleLeft
-0.1899208 -0.9526809 1.746833 15 FootLeft
-0.03543738 -0.1546186 1.872773 16 HipRight
-0.01129594 -0.5842052 1.893251 17 KneeRight
-0.004051379 -0.9495783 1.896455 18 AnkleRight
0.01609945 -0.9559736 1.742974 19 FootRight
-0.1128383 0.3755971 1.857354 20 SpineShoulder
-0.4377863 -0.1875516 1.785945 21 HandTipLeft
-0.4113415 -0.1648065 1.8125 22 ThumbLeft
-0.1069257 -0.1549704 1.90553 0 SpineBase
-0.110817 0.1506809 1.885384 1 SpineMid
-0.1139497 0.4504863 1.843352 2 Neck
-0.2466367 0.3238604 1.837108 4 ShoulderLeft
-0.3347982 0.1071707 1.867282 5 ElbowLeft
-0.4053261 -0.08985689 1.821054 6 WristLeft
-0.4000642 -0.1319668 1.819606 7 HandLeft
0.03931093 0.3358368 1.833076 8 ShoulderRight
0.1257897 0.09825263 1.858679 9 ElbowRight
-0.17597 -0.1491479 1.866022 12 HipLeft
-0.1756748 -0.6009476 1.915392 13 KneeLeft
-0.1825228 -0.9523106 1.90272 14 AnkleLeft
-0.1740937 -0.9547265 1.748201 15 FootLeft
-0.0339915 -0.1522247 1.869272 16 HipRight
0.0006242227 -0.6045818 1.909523 17 KneeRight
-0.002484145 -0.9495255 1.896126 18 AnkleRight
0.01654562 -0.9562245 1.743598 19 FootRight
-0.1126627 0.3756695 1.856861 20 SpineShoulder
-0.4105787 -0.2052614 1.830017 21 HandTipLeft
-0.4221011 -0.1117788 1.819 22 ThumbLeft
-0.1038854 -0.1541332 1.902737 0 SpineBase
-0.1077306 0.1523549 1.883016 1 SpineMid
-0.1111071 0.4507978 1.844315 2 Neck
-0.2460173 0.3243473 1.838429 4 ShoulderLeft
-0.3224046 0.09988672 1.878064 5 ElbowLeft
-0.3736277 -0.09883089 1.817952 6 WristLeft
-0.3625608 -0.1297412 1.81367 7 HandLeft
0.03940798 0.3361781 1.831701 8 ShoulderRight
0.1281265 0.1029198 1.854205 9 ElbowRight
-0.1712338 -0.1504374 1.865321 12 HipLeft
-0.1744364 -0.6238597 1.917283 13 KneeLeft
-0.1808941 -0.953366 1.903231 14 AnkleLeft
-0.1684455 -0.9553869 1.750142 15 FootLeft
-0.03198589 -0.1502414 1.865355 16 HipRight
0.003750081 -0.6296527 1.916287 17 KneeRight
-0.002440433 -0.950239 1.894674 18 AnkleRight
0.01803769 -0.956302 1.743531 19 FootRight
-0.1102285 0.3766803 1.856754 20 SpineShoulder
-0.3568945 -0.2064184 1.812299 21 HandTipLeft
-0.3899498 -0.09932162 1.825714 22 ThumbLeft
-0.1038854 -0.1541332 1.902737 0 SpineBase
-0.1077306 0.1523549 1.883016 1 SpineMid
-0.1111071 0.4507978 1.844315 2 Neck
-0.2460173 0.3243473 1.838429 4 ShoulderLeft
-0.3224046 0.09988672 1.878064 5 ElbowLeft
-0.3736277 -0.09883089 1.817952 6 WristLeft
-0.3625608 -0.1297412 1.81367 7 HandLeft
0.03940798 0.3361781 1.831701 8 ShoulderRight
0.1281265 0.1029198 1.854205 9 ElbowRight
-0.1712338 -0.1504374 1.865321 12 HipLeft
-0.1744364 -0.6238597 1.917283 13 KneeLeft
-0.1808941 -0.953366 1.903231 14 AnkleLeft
-0.1684455 -0.9553869 1.750142 15 FootLeft
-0.03198589 -0.1502414 1.865355 16 HipRight
0.003750081 -0.6296527 1.916287 17 KneeRight
-0.002440433 -0.950239 1.894674 18 AnkleRight
0.01803769 -0.956302 1.743531 19 FootRight
-0.1102285 0.3766803 1.856754 20 SpineShoulder
-0.3568945 -0.2064184 1.812299 21 HandTipLeft
-0.3899498 -0.09932162 1.825714 22 ThumbLeft
-0.1006453 -0.1548138 1.899291 0 SpineBase
-0.105166 0.153068 1.881166 1 SpineMid
-0.1087298 0.4515198 1.845366 2 Neck
-0.2451503 0.3245322 1.839218 4 ShoulderLeft
-0.316478 0.0976056 1.881821 5 ElbowLeft
-0.3526562 -0.1026644 1.817335 6 WristLeft
-0.3420801 -0.1294533 1.810808 7 HandLeft
0.03982652 0.3361939 1.83058 8 ShoulderRight
0.1310173 0.1058454 1.851031 9 ElbowRight
-0.1671159 -0.1523405 1.864275 12 HipLeft
-0.1732238 -0.620644 1.914154 13 KneeLeft
-0.1784364 -0.9535622 1.904584 14 AnkleLeft
-0.1760864 -0.9564782 1.751905 15 FootLeft
-0.02967898 -0.1502779 1.859937 16 HipRight
0.007072165 -0.6251091 1.916407 17 KneeRight
0.0004947566 -0.9494551 1.892449 18 AnkleRight
0.02195498 -0.9556836 1.742177 19 FootRight
-0.1080009 0.3777047 1.856945 20 SpineShoulder
-0.3359755 -0.2067153 1.80994 21 HandTipLeft
-0.3712283 -0.1093878 1.837833 22 ThumbLeft
-0.1006453 -0.1548138 1.899291 0 SpineBase
-0.105166 0.153068 1.881166 1 SpineMid
-0.1087298 0.4515198 1.845366 2 Neck
-0.2451503 0.3245322 1.839218 4 ShoulderLeft
-0.316478 0.0976056 1.881821 5 ElbowLeft
-0.3526562 -0.1026644 1.817335 6 WristLeft
-0.3420801 -0.1294533 1.810808 7 HandLeft
0.03982652 0.3361939 1.83058 8 ShoulderRight
0.1310173 0.1058454 1.851031 9 ElbowRight
-0.1671159 -0.1523405 1.864275 12 HipLeft
-0.1732238 -0.620644 1.914154 13 KneeLeft
-0.1784364 -0.9535622 1.904584 14 AnkleLeft
-0.1760864 -0.9564782 1.751905 15 FootLeft
-0.02967898 -0.1502779 1.859937 16 HipRight
0.007072165 -0.6251091 1.916407 17 KneeRight
0.0004947566 -0.9494551 1.892449 18 AnkleRight
0.02195498 -0.9556836 1.742177 19 FootRight
-0.1080009 0.3777047 1.856945 20 SpineShoulder
-0.3359755 -0.2067153 1.80994 21 HandTipLeft
-0.3712283 -0.1093878 1.837833 22 ThumbLeft
-0.09534171 -0.1567878 1.89217 0 SpineBase
