X              Y         Z      JointType 
-0.1865893 -0.1358857 1.737138 0 SpineBase
-0.1836795 0.1587525 1.704969 1 SpineMid
-0.1793835 0.4415205 1.660117 2 Neck
-0.3080457 0.2911975 1.676775 4 ShoulderLeft
-0.4181459 0.2202778 1.604355 5 ElbowLeft
-0.3232217 0.3620775 1.571065 6 WristLeft
-0.2973553 0.4146542 1.571217 7 HandLeft
-0.03998603 0.3125837 1.609012 8 ShoulderRight
0.0251254 0.1259357 1.593903 9 ElbowRight
-0.244271 -0.1378934 1.723652 12 HipLeft
-0.1220249 -0.449704 1.581995 13 KneeLeft
-0.1008531 -0.8451267 1.616634 14 AnkleLeft
-0.1613369 -0.9026288 1.654178 15 FootLeft
-0.121471 -0.128527 1.682283 16 HipRight
-0.1357446 -0.4875264 1.578752 17 KneeRight
-0.09344258 -0.8698927 1.617433 18 AnkleRight
-0.1538195 -0.9322049 1.649334 19 FootRight
-0.1806859 0.3725099 1.673425 20 SpineShoulder
-0.2425461 0.473076 1.573193 21 HandTipLeft
-0.2974629 0.3631586 1.618545 22 ThumbLeft
-0.1859735 -0.1434429 1.764458 0 SpineBase
-0.1845354 0.1573639 1.728877 1 SpineMid
-0.1815441 0.4455401 1.681776 2 Neck
-0.3055833 0.2876258 1.683693 4 ShoulderLeft
-0.4158348 0.217443 1.610848 5 ElbowLeft
-0.3152441 0.3822419 1.594236 6 WristLeft
-0.3175364 0.3509892 1.603355 7 HandLeft
-0.0325879 0.3183728 1.645183 8 ShoulderRight
0.03353766 0.1325259 1.637547 9 ElbowRight
-0.2445054 -0.1472527 1.744153 12 HipLeft
-0.1601898 -0.54014 1.743065 13 KneeLeft
-0.1437654 -0.9016622 1.810295 14 AnkleLeft
-0.1847883 -0.944843 1.707625 15 FootLeft
-0.1200152 -0.1336807 1.716408 16 HipRight
-0.135479 -0.531899 1.70989 17 KneeRight
-0.1168819 -0.9320756 1.792644 18 AnkleRight
-0.1576612 -0.9438632 1.669267 19 FootRight
-0.1825238 0.3751877 1.695535 20 SpineShoulder
-0.2781154 0.4138847 1.585735 21 HandTipLeft
-0.2900098 0.321878 1.644429 22 ThumbLeft
-0.1827763 -0.157147 1.789571 0 SpineBase
-0.1828212 0.1538429 1.74288 1 SpineMid
-0.1807601 0.4480793 1.690897 2 Neck
-0.3036736 0.28618 1.689429 4 ShoulderLeft
-0.4124548 0.2160198 1.616336 5 ElbowLeft
-0.3142044 0.3804669 1.607099 6 WristLeft
-0.3060926 0.362074 1.613696 7 HandLeft
-0.02462219 0.3201227 1.671341 8 ShoulderRight
0.04185066 0.1366576 1.671237 9 ElbowRight
-0.2421281 -0.1612153 1.765604 12 HipLeft
-0.1537136 -0.5734774 1.781003 13 KneeLeft
-0.1434072 -0.917291 1.841557 14 AnkleLeft
-0.1107178 -0.9560547 1.719727 15 FootLeft
-0.1161944 -0.1468063 1.744186 16 HipRight
-0.1341478 -0.5755241 1.773604 17 KneeRight
-0.1250446 -0.9345112 1.834274 18 AnkleRight
-0.1251717 -0.9654011 1.725779 19 FootRight
-0.1817145 0.3766913 1.705477 20 SpineShoulder
-0.2650836 0.4282735 1.593756 21 HandTipLeft
-0.2748706 0.3293338 1.654035 22 ThumbLeft
-0.1827763 -0.157147 1.789571 0 SpineBase
-0.1828212 0.1538429 1.74288 1 SpineMid
